# rho_B       Z   N                   tau_n                    tau_p                    tau_t                    field                     spin-orbit                coul_dir                 coul_exc                 coul_tot                 skyrme                    strut_p                   pair_n                   e_pair_bcs_p             k_e                      coul_ee                  coul_pe                   mu_n                     mu_p                     mu_e                     mu_t                     e_t                       e/a_t
  0.00025000  20  52.716054854498793  9.0421018779338806E+002  2.8910945028394701E+002  1.1933196380773352E+003  -1.6870213572799858E+003  -3.5476586243225235E+001  7.2539690609610986E+001  0.0000000000000000E+000  7.2539690609610986E+001  -4.5663861483626613E+002  -1.5691985287688794E+000  0.0000000000000000E+000  0.0000000000000000E+000  3.6508045345342970E+002  8.8393879197771099E+000  -2.0964508500258702E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  -1.2089934049225128E+002  -1.6626176008830982E+000
  0.00025000  22  55.318436546542202  9.9746682305637228E+002  3.1877285864754629E+002  1.3162396817039184E+003  -1.8697572339814653E+003  -3.7869159386637868E+001  8.5230972900153176E+001  0.0000000000000000E+000  8.5230972900153176E+001  -5.0615573876403352E+002  3.0937800014679624E+000   0.0000000000000000E+000  0.0000000000000000E+000  4.0628160755856084E+002  1.0447707217531397E+001  -2.4852200958895800E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  -1.2839639094548295E+002  -1.6606180449817243E+000
  0.00025000  24  59.545133647241414  1.0936578698377218E+003  3.4812281317776166E+002  1.4417806830154834E+003  -2.0554433941136476E+003  -4.0182062480274411E+001  9.8681672606450562E+001  0.0000000000000000E+000  9.8681672606450562E+001  -5.5516310097198800E+002  4.9235241498105324E+000   0.0000000000000000E+000  0.0000000000000000E+000  4.4466840907002791E+002  1.2085395077186021E+001  -2.8822074206232074E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  -1.4108407888127687E+002  -1.6887168972856585E+000
  0.00025000  26  63.224593990761562  1.1888858528891831E+003  3.7754826171136449E+002  1.5664341146005477E+003  -2.2407756097482356E+003  -4.2401755199060631E+001  1.1291961454597674E+002  0.0000000000000000E+000  1.1291961454597674E+002  -6.0382363580077254E+002  4.2506124587494014E+000   0.0000000000000000E+000  0.0000000000000000E+000  4.8408290736930314E+002  1.3844702215010205E+001  -3.3091781029536527E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  -1.5507811278730469E+002  -1.7380646506408155E+000
  0.00025000  28  66.437483447665642  1.2824004407187779E+003  4.0716076766081892E+002  1.6895612083795968E+003  -2.4250430483379696E+003  -4.4535216420540138E+001  1.2794056088463769E+002  0.0000000000000000E+000  1.2794056088463769E+002  -6.5207649549427299E+002  1.3422826742931875E+000   0.0000000000000000E+000  0.0000000000000000E+000  5.2442006668493264E+002  1.5724230117816566E+001  -3.7658145131132137E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  -1.7015366514840571E+002  -1.8017598408289006E+000
  0.00025000  30  71.716080276573948  1.3825634546699853E+003  4.3601254025720158E+002  1.8185759949271869E+003  -2.6153987418371503E+003  -4.6635975552993443E+001  1.4357767076327087E+002  0.0000000000000000E+000  1.4357767076327087E+002  -6.9988105169968424E+002  5.6907289260132075E+000   0.0000000000000000E+000  0.0000000000000000E+000  5.6086935403114944E+002  1.7578317647491406E+001  -4.2173705519440588E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  -1.8138664661450215E+002  -1.7832642205495337E+000
  0.00025000  32  76.283816204088566  1.4807639393387733E+003  4.6505665284941244E+002  1.9458205921881859E+003  -2.8043933973067055E+003  -4.8661841775078479E+001  1.5995744975607624E+002  0.0000000000000000E+000  1.5995744975607624E+002  -7.4727719713752299E+002  7.2769674730570841E+000   0.0000000000000000E+000  0.0000000000000000E+000  5.9866368654182190E+002  1.9556324187022494E+001  -4.6993804976879879E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  -1.9380899991252505E+002  -1.7898230829717199E+000
  0.00025000  34  80.515073685241575  1.5781146946322863E+003  4.9414267445015292E+002  2.0722573690824393E+003  -2.9929272721655630E+003  -5.0624089175862778E+001  1.7704429116730162E+002  0.0000000000000000E+000  1.7704429116730162E+002  -7.9424970109168532E+002  6.3894829910129829E+000   0.0000000000000000E+000  0.0000000000000000E+000  6.3709820445374760E+002  2.1638315429774202E+001  -5.2071005246721874E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  -2.0779436546389033E+002  -1.8145590687315831E+000
  0.00025000  36  84.662170555848633  1.6752575204125728E+003  5.2322890617221390E+002  2.1984864265847868E+003  -3.1815509141721359E+003  -5.2532436976117957E+001  1.9481446798130605E+002  0.0000000000000000E+000  1.9481446798130605E+002  -8.4078245658216008E+002  5.6560765610588533E+000   0.0000000000000000E+000  0.0000000000000000E+000  6.7569956391090261E+002  2.3808748047474769E+001  -5.7368103334247166E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  -2.2115051939698466E+002  -1.8328066364294120E+000
  0.00025000  38  88.715532679401434  1.7718891485941442E+003  5.5238204486256245E+002  2.3242711934567069E+003  -3.3700100293675214E+003  -5.4391407570101030E+001  2.1326408726755716E+002  0.0000000000000000E+000  2.1326408726755716E+002  -8.8686615621335955E+002  3.6524494048308043E+000   0.0000000000000000E+000  0.0000000000000000E+000  7.1448822732507335E+002  2.6067375359442121E+001  -6.2884422837972402E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  -2.3527156096199622E+002  -1.8566902018581983E+000
