# rho_B       Z   N                   tau_n                    tau_p                    tau_t                    field                     spin-orbit                coul_dir                 coul_exc                 coul_tot                 skyrme                    strut_p                   pair_n                   e_pair_bcs_p             k_e                      coul_ee                  coul_pe                   mu_n                     mu_p                     mu_e                     mu_t                     e_t                      e/a_t
  0.00125000  20  183.00510420434745  1.1671688030290725E+003  2.7631347737854117E+002  1.4434822804076136E+003  -1.8126834547719006E+003  -3.6192861244102360E+001  7.0901592866209441E+001  0.0000000000000000E+000  7.0901592866209441E+001  -3.3449244274217995E+002  -1.5014141632295832E+000  0.0000000000000000E+000  0.0000000000000000E+000  4.4548655286914590E+002  1.0736184970769118E+001  -2.5422607057112366E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  7.9159413877268037E+001  3.8993804705262902E-001
  0.00125000  22  201.54039143743645  1.2910563934653815E+003  3.0415833685903175E+002  1.5952147303244133E+003  -2.0108522341413411E+003  -3.8623566329669849E+001  8.3239966775637242E+001  0.0000000000000000E+000  8.3239966775637242E+001  -3.7102110337095996E+002  3.2262958302870857E+000   0.0000000000000000E+000  0.0000000000000000E+000  4.8985975452151774E+002  1.2542251258661466E+001  -2.9789433516699905E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  8.7606218722721565E+001  3.9190330730736206E-001
  0.00125000  24  217.14010443767478  1.4109341254747528E+003  3.3199652541414139E+002  1.7429306508888942E+003  -2.2088149382324705E+003  -4.0954427524878739E+001  9.6356515726243828E+001  0.0000000000000000E+000  9.6356515726243828E+001  -4.1048219914221266E+002  5.2011507299297364E+000   0.0000000000000000E+000  0.0000000000000000E+000  5.3644061054700251E+002  1.4516227440688679E+001  -3.4566791410180130E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  9.2332766165168081E+001  3.8290091305735180E-001
  0.00125000  26  230.23082392789775  1.5274378303295027E+003  3.5984730769913250E+002  1.8872851380286352E+003  -2.4066774522327287E+003  -4.3199032815905433E+001  1.1022851812091552E+002  0.0000000000000000E+000  1.1022851812091552E+002  -4.5236282889908608E+002  4.7541364842759322E+000   0.0000000000000000E+000  0.0000000000000000E+000  5.8498673702056203E+002  1.6657419921278873E+001  -3.9753582302510146E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  9.3940964224478094E+001  3.6662632068803597E-001
  0.00125000  28  243.48654771120383  1.6445319550260010E+003  3.8759691500720692E+002  2.0321288700332079E+003  -2.6052385730829928E+003  -4.5365871518319175E+001  1.2482166752797347E+002  0.0000000000000000E+000  1.2482166752797347E+002  -4.9365390704013316E+002  2.1662812614758877E+000   0.0000000000000000E+000  0.0000000000000000E+000  6.3348837137608700E+002  1.8912035992923343E+001  -4.5222659861090790E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  9.3784517729231339E+001  3.4543878936940381E-001
  0.00125000  30  261.66222435705271  1.7694656008333252E+003  4.1515243194007041E+002  2.1846180327733955E+003  -2.8063447846617373E+003  -4.7469008654042376E+001  1.4009496253747093E+002  0.0000000000000000E+000  1.4009496253747093E+002  -5.2910079800491428E+002  5.9613917406343262E+000   0.0000000000000000E+000  0.0000000000000000E+000  6.7811560462568525E+002  2.1159997019492419E+001  -5.0688536284129803E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.0197736909674515E+002  3.4964201936323053E-001
  0.00125000  32  277.66487439224460  1.8914282842527375E+003  4.4267691881317876E+002  2.3341052030659162E+003  -3.0071933402543518E+003  -4.9506613522652515E+001  1.5605929893004384E+002  0.0000000000000000E+000  1.5605929893004384E+002  -5.6653545178104730E+002  7.1542596468557349E+000   0.0000000000000000E+000  0.0000000000000000E+000  7.2446864233162387E+002  2.3561948841005748E+001  -5.6531672672689851E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.0708275036573127E+002  3.4580205641803158E-001
  0.00125000  34  292.06198858477643  2.0113094575228820E+003  4.7020768384383081E+002  2.4815171413667126E+003  -3.2080529948725894E+003  -5.1489005144417938E+001  1.7270165758253160E+002  0.0000000000000000E+000  1.7270165758253160E+002  -6.0532320106776456E+002  6.0089442575801968E+000   0.0000000000000000E+000  0.0000000000000000E+000  7.7211885519161945E+002  2.6108157378471216E+001  -6.2729228100492108E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.0958386565940154E+002  3.3608292133241935E-001
  0.00125000  36  307.13257409988125  2.1325972595744342E+003  4.9768851220881453E+002  2.6302857717832489E+003  -3.4097848853653941E+003  -5.3423255577057894E+001  1.8999507549548329E+002  0.0000000000000000E+000  1.8999507549548329E+002  -6.4292729366371987E+002  5.4592113838957630E+000   0.0000000000000000E+000  0.0000000000000000E+000  8.1924625100675883E+002  2.8738891638589589E+001  -6.9138921633876379E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.1321379073163845E+002  3.2993425553203198E-001
  0.00125000  38  321.61556971112816  2.2531698597648328E+003  5.2505384406747021E+002  2.7782237038323028E+003  -3.6116026259401187E+003  -5.5303410768815041E+001  2.0792425442849404E+002  0.0000000000000000E+000  2.0792425442849404E+002  -6.8075807844813892E+002  3.6841234657551922E+000   0.0000000000000000E+000  0.0000000000000000E+000  8.6686815256564864E+002  3.1486431429048274E+001  -7.5837439504078219E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.1571415550822778E+002  3.2177181761327622E-001
