# rho_B       Z   N                   tau_n                    tau_p                    tau_t                    field                     spin-orbit                coul_dir                 coul_exc                 coul_tot                 skyrme                    strut_p                   pair_n                    e_pair_bcs_p              k_e                      coul_ee                  coul_pe                   mu_n                     mu_p                      mu_e                     mu_t                     e_t                       e/a_t
  0.00050000  20  93.584461773181474  9.6510787009620924E+002  2.8473571403731637E+002  1.2498435841335256E+003  -1.7261636655797752E+003  -3.5765846229060131E+001  7.1962707788524213E+001  0.0000000000000000E+000  7.1962707788524213E+001  -4.4012321988678593E+002  -1.5489998303373795E+000  -4.6002462492541490E-001  -1.2629814839819239E-006  3.9728417111651851E+002  9.5991356027061929E+000  -2.2752899183214971E+001  0.0000000000000000E+000  -2.7579579953268365E+001  0.0000000000000000E+000  0.0000000000000000E+000  -7.3648698069167509E+001  -6.4839406816549372E-001
  0.00050000  22  101.78879936594616  1.0673963871470087E+003  3.1354254392242348E+002  1.3809389310694321E+003  -1.9154921076123223E+003  -3.8187472540836701E+001  8.4501900160183567E+001  0.0000000000000000E+000  8.4501900160183567E+001  -4.8823874892354360E+002  4.5980012287005820E+000   -4.8807535664050988E-001  -3.5843212136242739E+000  4.3840035787323188E+002  1.1252686658419794E+001  -2.6752479773147861E+001  0.0000000000000000E+000  -2.6182134549489327E+001  0.0000000000000000E+000  0.0000000000000000E+000  -8.2024125506705531E+001  -6.6261346684168643E-001
  0.00050000  24  109.20640954018668  1.1693294460429659E+003  3.4232851416666631E+002  1.5116579602096322E+003  -2.1053921197845661E+003  -4.0510799581040615E+001  9.7829660643837840E+001  0.0000000000000000E+000  9.7829660643837840E+001  -5.3641529851213727E+002  6.9002689532984505E+000   -5.0873404814911971E-001  -4.5061602557766767E+000  4.8049661439997777E+002  1.3034462838421222E+001  -3.1068305535861626E+001  0.0000000000000000E+000  -2.6706519244147511E+001  0.0000000000000000E+000  0.0000000000000000E+000  -9.0843384160299237E+001  -6.8196478651032710E-001
  0.00050000  26  116.30634761402854  1.2713497139797926E+003  3.7108532039672866E+002  1.6424350343765213E+003  -2.2959866223366585E+003  -4.2749423994130460E+001  1.1191960740024069E+002  0.0000000000000000E+000  1.1191960740024069E+002  -5.8438140455402674E+002  6.2517249338469583E+000   -5.2933841978962981E-001  -3.7794229629857465E+000  5.2302620372514230E+002  1.4930325444933082E+001  -3.5666892500287183E+001  0.0000000000000000E+000  -2.7140032997620381E+001  0.0000000000000000E+000  0.0000000000000000E+000  -1.0048972233321837E+002  -7.0615066731964427E-001
  0.00050000  28  123.05723142885034  1.3733429733642849E+003  3.9976725939944896E+002  1.7731102327637338E+003  -2.4870732019552020E+003  -4.4909760453814101E+001  1.2674672734043763E+002  0.0000000000000000E+000  1.2674672734043763E+002  -6.3212600230484577E+002  1.6661488758022642E+000   -5.4772937510959940E-001  -2.9028568723356635E-006  5.6604211360833267E+002  1.6940819488231192E+001  -4.0549376303928369E+001  0.0000000000000000E+000  -2.6443593080144041E+001  0.0000000000000000E+000  0.0000000000000000E+000  -1.1047963291441205E+002  -7.3137599483278859E-001
  0.00050000  30  131.62126694777956  1.4776269102469012E+003  4.2828401286154588E+002  1.9059109231084472E+003  -2.6797320101626124E+003  -4.7005889399075969E+001  1.4227169119390518E+002  0.0000000000000000E+000  1.4227169119390518E+002  -6.7855528525933448E+002  8.8195275702501021E+000   -5.7646937103111395E-001  -5.0333016507906390E+000  6.0676289073449141E+002  1.8980375081453460E+001  -4.5511898381902085E+001  0.0000000000000000E+000  -2.5810844983661909E+001  0.0000000000000000E+000  0.0000000000000000E+000  -1.1858445127689095E+002  -7.3371811467136994E-001
  0.00050000  32  139.61408927350709  1.5817077025888902E+003  4.5680160753336435E+002  2.0385093101222546E+003  -2.8728216464794846E+003  -4.9041114041190305E+001  1.5850046122542389E+002  0.0000000000000000E+000  1.5850046122542389E+002  -7.2485298917299713E+002  1.1219706392271519E+001   -6.0147752626752460E-001  -6.2239259512198499E+000  6.4821934320417540E+002  2.1134269029714183E+001  -5.0756808703185534E+001  0.0000000000000000E+000  -2.6137647427130702E+001  0.0000000000000000E+000  0.0000000000000000E+000  -1.2689685872752955E+002  -7.3943147246101659E-001
  0.00050000  34  147.38855046461737  1.6858202186660774E+003  4.8522398235751973E+002  2.1710442010235970E+003  -3.0662676561726316E+003  -5.1016645912308256E+001  1.7540786433641762E+002  0.0000000000000000E+000  1.7540786433641762E+002  -7.7083223672492511E+002  1.0594113609977967E+001   -6.2501855606898937E-001  -5.4451038689374140E+000  6.8996461989298325E+002  2.3388556019451624E+001  -5.6250819296527574E+001  0.0000000000000000E+000  -2.6420554579801067E+001  0.0000000000000000E+000  0.0000000000000000E+000  -1.3580555092406183E+002  -7.4869968680713705E-001
  0.00050000  36  154.70990126689540  1.7897736099109593E+003  5.1361197759863387E+002  2.3033855875095933E+003  -3.2600316005777522E+003  -5.2939486467119060E+001  1.9298392320830317E+002  0.0000000000000000E+000  1.9298392320830317E+002  -8.1660157632697462E+002  8.1840928026138045E+000   -6.4576247590456126E-001  -3.7176229509484577E+000  7.3231077495767352E+002  2.5753186748878495E+001  -6.2017638384053271E+001  0.0000000000000000E+000  -2.6541928387780441E+001  0.0000000000000000E+000  0.0000000000000000E+000  -1.4489889362872691E+002  -7.5978694690462278E-001
  0.00050000  38  162.27761041940889  1.8942832765850328E+003  5.4191260505031676E+002  2.4361958816353495E+003  -3.4543951884846738E+003  -5.4814278254867212E+001  2.1120581499169344E+002  0.0000000000000000E+000  2.1120581499169344E+002  -8.6180777011250052E+002  5.3699080496849092E+000   -6.6772710657593548E-001  -1.8649944621473291E+000  7.7434632770006203E+002  2.8196220128065075E+001  -6.7980787635403260E+001  0.0000000000000000E+000  -2.6385373227446980E+001  0.0000000000000000E+000  0.0000000000000000E+000  -1.5413785743882417E+002  -7.6961321779180547E-001
