# rho_B       Z   N                   tau_n                    tau_p                    tau_t                    field                     spin-orbit                coul_dir                 coul_exc                 coul_tot                 skyrme                    strut_p                   pair_n                    e_pair_bcs_p              k_e                      coul_ee                  coul_pe                   mu_n                     mu_p                      mu_e                     mu_t                     e_t                      e/a_t
  0.00125000  20  183.84657179468539  1.1684497232986930E+003  2.7628958448847737E+002  1.4447393077871704E+003  -1.8129923544109913E+003  -3.6193620125733275E+001  7.0898567351109051E+001  0.0000000000000000E+000  7.0898567351109051E+001  -3.3354809939844461E+002  -1.5008788581535555E+000  -1.8815144729323059E+000  -7.5650433179240919E-007  4.4485899933706429E+002  1.0721382450188049E+001  -2.5387856927946103E+001  0.0000000000000000E+000  -2.9838094875130707E+001  0.0000000000000000E+000  0.0000000000000000E+000  7.7615171373147120E+001  3.8074014565034459E-001
  0.00125000  22  200.31785144158741  1.2892230827300943E+003  3.0419046895166542E+002  1.5934135516817598E+003  -2.0104127407293140E+003  -3.8622681362611203E+001  8.3244351658379628E+001  0.0000000000000000E+000  8.3244351658379628E+001  -3.7237751875178498E+002  4.5672952302710428E+000   -2.0329502723572075E+000  -3.3520496272561302E+000  4.9077608786608067E+002  1.2565213102987512E+001  -2.9843502704779837E+001  0.0000000000000000E+000  -2.8412908617195768E+001  0.0000000000000000E+000  0.0000000000000000E+000  8.3091028843075861E+001  3.7373702878401238E-001
  0.00125000  24  216.18317712380647  1.4094790075158955E+003  3.3201773347878679E+002  1.7414967409946823E+003  -2.2084510779877155E+003  -4.0953202375669768E+001  9.6359940513228807E+001  0.0000000000000000E+000  9.6359940513228807E+001  -4.1154759885547384E+002  7.0075789750218291E+000   -2.1751204028106392E+000  -4.3266966054695102E+000  5.3716794484911225E+002  1.4535490963680473E+001  -3.4612267948575251E+001  0.0000000000000000E+000  -2.8960768131649189E+001  0.0000000000000000E+000  0.0000000000000000E+000  8.7273098975425540E+001  3.6336058178325781E-001
  0.00125000  26  230.78316773734474  1.5282222376593297E+003  3.5979412788296094E+002  1.8880163655422907E+003  -2.4067927059673052E+003  -4.3196346836993932E+001  1.1022338546154033E+002  0.0000000000000000E+000  1.1022338546154033E+002  -4.5174930180046817E+002  6.4360159209563790E+000   -2.2986739500101279E+000  -3.5382878510502525E+000  5.8455770308355659E+002  1.6645461625120404E+001  -3.9725277926697508E+001  0.0000000000000000E+000  -2.9411021605659563E+001  0.0000000000000000E+000  0.0000000000000000E+000  8.9986721101364452E+001  3.5043855052258766E-001
  0.00125000  28  244.84499487428153  1.6465814670875029E+003  3.8755674211558420E+002  2.0341382092030872E+003  -2.6057420332349270E+003  -4.5366707042229883E+001  1.2481534481406958E+002  0.0000000000000000E+000  1.2481534481406958E+002  -4.9215518626000176E+002  2.1680802646203574E+000   -2.4144711872305447E+000  -2.9876885601250096E-006  6.3241208521445890E+002  1.8880581574789353E+001  -4.5148095175861187E+001  0.0000000000000000E+000  -2.8782669813394296E+001  0.0000000000000000E+000  0.0000000000000000E+000  9.1837387443055732E+001  3.3659179815518031E-001
  0.00125000  30  261.32247324937543  1.7689469498616866E+003  4.1515987380301891E+002  2.1841068236647056E+003  -2.8062120008609118E+003  -4.7468605100832278E+001  1.4009639166806051E+002  0.0000000000000000E+000  1.4009639166806051E+002  -5.2947739062897585E+002  8.6824971806770463E+000   -2.5645397288001326E+000  -4.5111083636598197E+000  6.7838492591419345E+002  2.1168223593917574E+001  -5.0708072291426909E+001  0.0000000000000000E+000  -2.8203544810705715E+001  0.0000000000000000E+000  0.0000000000000000E+000  9.7504245675902638E+001  3.3469524196950479E-001
  0.00125000  32  277.63633740615273  1.8913827422762438E+003  4.4267762225105713E+002  2.3340603645273009E+003  -3.0071803631371622E+003  -4.9506515119894758E+001  1.5605944363948248E+002  0.0000000000000000E+000  1.5605944363948248E+002  -5.6656707009027423E+002  1.0682081008687192E+001   -2.7117648076292142E+000  -5.4517418966066495E+000  7.2449138789794063E+002  2.3562672994202508E+001  -5.6533395144030656E+001  0.0000000000000000E+000  -2.8540803812712944E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.0243719396227266E+002  3.3083066031576019E-001
  0.00125000  34  292.32865186260210  2.0117164426814213E+003  4.7020178676879522E+002  2.4819182294502166E+003  -3.2081575010393135E+003  -5.1489325433336674E+001  1.7270045379920828E+002  0.0000000000000000E+000  1.7270045379920828E+002  -6.0502814322322479E+002  9.7916764262608922E+000   -2.8354577757574759E+000  -4.5554688284062834E+000  7.7190386592743300E+002  2.6101040813119798E+001  -6.2712277790535104E+001  0.0000000000000000E+000  -2.8815205176478706E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.0606557354887724E+002  3.2502684929172304E-001
  0.00125000  36  308.00743569796850  2.1339056915092283E+003  4.9765651643696890E+002  2.6315622079461973E+003  -3.4100959643344017E+003  -5.3423210220130855E+001  1.8998979435002641E+002  0.0000000000000000E+000  1.8998979435002641E+002  -6.4196717225830650E+002  7.5642395026320628E+000   -2.9729993468783662E+000  -3.0779652183377926E+000  8.1853595111821619E+002  2.8714498341662026E+001  -6.9080742577650142E+001  0.0000000000000000E+000  -2.8908400607558224E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.0955146156132804E+002  3.1845666748093920E-001
  0.00125000  38  323.18795399044308  2.2555812113429893E+003  5.2501556183130401E+002  2.7805967731742930E+003  -3.6122288742703013E+003  -5.5305154990487644E+001  2.0791575206120990E+002  0.0000000000000000E+000  2.0791575206120990E+002  -6.7902150402528628E+002  5.0868195824564282E+000   -3.1031578067403620E+000  -1.5411338311605252E+000  8.6558086712814350E+002  3.1440655866019821E+001  -7.5728143545727875E+001  0.0000000000000000E+000  -2.8760483673874987E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.1298536936769747E+002  3.1281599543723487E-001
  0.00125000  40  338.24548094464132  2.3773834439870348E+003  5.5232929682235249E+002  2.9297127408093875E+003  -3.8148096036729985E+003  -5.7143874635619049E+001  2.2646767767405365E+002  0.0000000000000000E+000  2.2646767767405365E+002  -7.1577305982517430E+002  3.0267946108729120E+000   -3.2312505427634748E+000  -1.7554761867959650E-004  9.1273696153093624E+002  3.4268131051427169E+001  -8.2627225708638932E+001  0.0000000000000000E+000  -2.8159338556006794E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.1710645556903539E+002  3.0960437458861684E-001
  0.00125000  42  355.74393884464428  2.5031456923555997E+003  5.7946382106725184E+002  3.0826095134228517E+003  -4.0186714940588245E+003  -5.8939234693068762E+001  2.4561233876710472E+002  0.0000000000000000E+000  2.4561233876710472E+002  -7.4938887656193879E+002  7.5341113731903988E+000   -3.3940206143335332E+000  -3.9939807965666221E+000  9.5789248122768231E+002  3.7115533093704641E+001  -8.9583089241270329E+001  0.0000000000000000E+000  -2.7955799787822627E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.2332375248046380E+002  3.1005815660830516E-001
  0.00125000  44  371.35550690022626  2.6263450711067126E+003  6.0662972551667531E+002  3.2329747966233881E+003  -4.2222952962365962E+003  -6.0698061592381265E+001  2.6537185691476867E+002  0.0000000000000000E+000  2.6537185691476867E+002  -7.8464670429081730E+002  8.6366622458256188E+000   -3.5294564417787289E+000  -4.9342084460468314E+000  1.0045986180818163E+003  4.0113155856771279E+001  -9.6907152229497612E+001  0.0000000000000000E+000  -2.8076382900040372E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.2890782277626937E+002  3.1035539588281541E-001
  0.00125000  46  387.40822464013735  2.7504672340796751E+003  6.3369367712078235E+002  3.3841609112004576E+003  -4.4264314640090042E+003  -6.2419288607449147E+001  2.8571518401286045E+002  0.0000000000000000E+000  2.8571518401286045E+002  -8.1897465740313316E+002  7.9322922791038764E+000   -3.6709952818887328E+000  -4.6824742303818603E+000  1.0509444181956137E+003  4.3188053588349248E+001  -1.0442478288132192E+002  0.0000000000000000E+000  -2.8217877891171142E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.3432407626633847E+002  3.0992507439780975E-001
  0.00125000  48  403.30966448358271  2.8746325031200440E+003  6.6072198423229315E+002  3.5353544873523369E+003  -4.6309136020440847E+003  -6.4107811932930545E+001  3.0663993573012488E+002  0.0000000000000000E+000  3.0663993573012488E+002  -8.5302699089455461E+002  5.6733975774145620E+000   -3.8101449760804571E+000  -3.5375600108792500E+000  1.0974170739713691E+003  4.6357791641156915E+001  -1.1217792583184388E+002  0.0000000000000000E+000  -2.8308204135888133E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.3934317747658014E+002  3.0875292164620949E-001
