# rho_B       Z   N                   tau_n                    tau_p                    tau_t                    field                     spin-orbit                coul_dir                 coul_exc                 coul_tot                 skyrme                   strut_p                   pair_n                    e_pair_bcs_p              k_e                      coul_ee                  coul_pe                   mu_n                     mu_p                      mu_e                     mu_t                     e_t                      e/a_t
  0.00700000  20  397.40308583509574  2.6730072400617501E+003  2.4087316551838111E+002  2.9138804055801311E+003  -2.4137510144394050E+003  -3.6524071866456140E+001  6.6428145594852509E+001  0.0000000000000000E+000  6.6428145594852509E+001  5.3003346486912426E+002  -1.2984590471210140E+000  -8.8922883917029854E+000  -4.3464376719890688E-007  6.2609458752821968E+002  1.4995671249024047E+001  -3.5322453714517216E+001  0.0000000000000000E+000  -3.8635278563609049E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.1099636620583117E+003  2.6592128800960531E+000
  0.00700000  22  434.95809559980847  2.9366572731154606E+003  2.6499106250081127E+002  3.2016483356162717E+003  -2.6670830975662439E+003  -3.8888827737208516E+001  7.7950617972196298E+001  0.0000000000000000E+000  7.7950617972196298E+001  5.7362702828501551E+002  4.7252477904871739E+000   -9.7246456094441527E+000  -2.9995341962565130E+000  6.8981772736053358E+002  1.7552154693098547E+001  -4.1469170034011967E+001  0.0000000000000000E+000  -3.7206771124876454E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.2143172622893744E+003  2.6573930388188418E+000
  0.00700000  24  476.64222556694466  3.2190834852091139E+003  2.8895915928511783E+002  3.5080426444942318E+003  -2.9263626659517363E+003  -4.1159265458932403E+001  9.0172717028822305E+001  0.0000000000000000E+000  9.0172717028822305E+001  6.3069343011238800E+002  7.3426817537115312E+000   -1.0700635870192990E+001  -3.7827810516307756E+000  7.5143621649712816E+002  2.0209620984411682E+001  -4.7874231735747578E+001  0.0000000000000000E+000  -3.7754105071040456E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.3285480686900351E+003  2.6536876053099889E+000
  0.00700000  26  506.02492130912901  3.4473376442592694E+003  3.1304684662669064E+002  3.7603844908859601E+003  -3.1710019462141145E+003  -4.3346648608124283E+001  1.0311620441784038E+002  0.0000000000000000E+000  1.0311620441784038E+002  6.4915210048156450E+002  7.1111655265394802E+000   -1.1287322248430765E+001  -2.8859052405867534E+000  8.1937857063636943E+002  2.3189653162199036E+001  -5.5052681581253275E+001  0.0000000000000000E+000  -3.8203847891076272E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.4092646627363783E+003  2.6486896468053747E+000
  0.00700000  28  539.54118968675516  3.6940999273232987E+003  3.3707030103275457E+002  4.0311702283560535E+003  -3.4214917729554682E+003  -4.5471540704659787E+001  1.1672531193958758E+002  0.0000000000000000E+000  1.1672531193958758E+002  6.8093222663551137E+002  3.8608955623578822E+000   -1.2015555420458282E+001  -5.6268611913489037E-006  8.8524647563182793E+002  2.6268697268189516E+001  -6.2484242760477287E+001  0.0000000000000000E+000  -3.7865385913126730E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.4999028872900731E+003  2.6428088648731025E+000
  0.00700000  30  576.06975072166335  3.9546928058077888E+003  3.6088852002445083E+002  4.3155813258322396E+003  -3.6762479052773538E+003  -4.7518662807649072E+001  1.3096662856330352E+002  0.0000000000000000E+000  1.3096662856330352E+002  7.2278138631053753E+002  8.1934214609007086E+000   -1.2821007576860939E+001  -2.9834467277752066E+000  9.4954241292751203E+002  2.9449824754004997E+001  -7.0174656988109632E+001  0.0000000000000000E+000  -3.7539712010147952E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.6005176441601971E+003  2.6408142664274705E+000
  0.00700000  32  609.75957755856678  4.2030575976735081E+003  3.8474539071229020E+002  4.5878029883857980E+003  -3.9281168787426614E+003  -4.9515111425482488E+001  1.4585490030860259E+002  0.0000000000000000E+000  1.4585490030860259E+002  7.5602589852625761E+002  8.7509675803332811E+000   -1.3554644831058731E+001  -3.1441487447389260E+000  1.0153587859003638E+003  3.2821884765737821E+001  -7.8331271048005590E+001  0.0000000000000000E+000  -3.7873545744603803E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.6928924961488801E+003  2.6378920632328495E+000
  0.00700000  34  645.78993576866151  4.4622543000696633E+003  4.0841895512983518E+002  4.8706732551994983E+003  -4.1833436655325822E+003  -5.1446610498370788E+001  1.6134533024569566E+002  0.0000000000000000E+000  1.6134533024569566E+002  7.9722830941423808E+002  6.7467646935231187E+000   -1.4347927193766814E+001  -1.6803063448264546E+000  1.0799350821038147E+003  3.6296224287156676E+001  -8.6745972852708377E+001  0.0000000000000000E+000  -3.8060226324670225E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.7908325121074242E+003  2.6342391086833614E+000
  0.00700000  36  679.50822101895255  4.7111518178821243E+003  4.3209436511786868E+002  5.1432461829999929E+003  -4.4360759145133807E+003  -5.3332172433555144E+001  1.7744961476654203E+002  0.0000000000000000E+000  1.7744961476654203E+002  8.3128771081960099E+002  5.9914774445076091E+000   -1.5080791046722290E+001  -1.7134738562874257E+000  1.1457663344096670E+003  3.9950969290317033E+001  -9.5601676924325986E+001  0.0000000000000000E+000  -3.7985813888548265E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.8824362021367517E+003  2.6309078593864239E+000
  0.00700000  38  710.90866130871564  4.9501955030191903E+003  4.5573451187616462E+002  5.4059300148953553E+003  -4.6863839334094855E+003  -5.5170529461112672E+001  1.9415154712064538E+002  0.0000000000000000E+000  1.9415154712064538E+002  8.5852709914539935E+002  4.6910220116249093E+000   -1.5755302221953068E+001  -1.2170530312787027E+000  1.2128823950082560E+003  4.3789147062122538E+001  -1.0490543830556832E+002  0.0000000000000000E+000  -3.7902887033582587E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.9682828356685986E+003  2.6282014581417945E+000
  0.00700000  40  748.87964250531695  5.2187465917993031E+003  4.7914903747121042E+002  5.6978956292705134E+003  -4.9452948559010238E+003  -5.6959945570751891E+001  2.1139719707104260E+002  0.0000000000000000E+000  2.1139719707104260E+002  9.0703802486978111E+002  2.9304625196173220E+000   -1.6596549329396574E+001  -3.4635246795321965E-006  1.2764142726159071E+003  4.7633931196898125E+001  -1.1424096994811461E+002  0.0000000000000000E+000  -3.7331206637963902E+001  0.0000000000000000E+000  0.0000000000000000E+000  2.0718854484611652E+003  2.6263644500694863E+000
  0.00700000  42  785.28136141262223  5.4806147133946906E+003  5.0255288962763967E+002  5.9831676030223307E+003  -5.2026763383191737E+003  -5.8713776526590920E+001  2.2921697763405373E+002  0.0000000000000000E+000  2.2921697763405373E+002  9.5099446581061648E+002  7.2085372573590121E+000   -1.7397676134078562E+001  -3.2310439790470298E+000  1.3408064382815223E+003  5.1638817845877185E+001  -1.2396886451612293E+002  0.0000000000000000E+000  -3.6988108961919629E+001  0.0000000000000000E+000  0.0000000000000000E+000  2.1731922685661243E+003  2.6269082925473621E+000
  0.00700000  44  820.31582351817781  5.7369577775371936E+003  5.2602581337750257E+002  6.2629835909146959E+003  -5.4589891788664681E+003  -6.0447058729733918E+001  2.4760954836730645E+002  0.0000000000000000E+000  2.4760954836730645E+002  9.9115690168580227E+002  8.8748167814117096E+000   -1.8164451975419059E+001  -4.3195914293728634E+000  1.4059516859975990E+003  5.5800553329345192E+001  -1.3408151521447124E+002  0.0000000000000000E+000  -3.7139395939195886E+001  0.0000000000000000E+000  0.0000000000000000E+000  2.2707953071748934E+003  2.6271464022445064E+000
  0.00700000  46  857.80354867491542  6.0040119397973594E+003  5.4928840566591305E+002  6.5533003454632726E+003  -5.7184053038342181E+003  -6.2129955405597464E+001  2.6652225374160042E+002  0.0000000000000000E+000  2.6652225374160042E+002  1.0392873399650564E+003  8.6995429684689043E+000   -1.8991478579866417E+001  -4.1099443047859525E+000  1.4697480956175607E+003  6.0035196713682048E+001  -1.4438042436685080E+002  0.0000000000000000E+000  -3.7296509287041765E+001  0.0000000000000000E+000  0.0000000000000000E+000  2.3743005500132631E+003  2.6270095459275873E+000
  0.00700000  48  893.46665990214262  6.2633765215465182E+003  5.7250860136050460E+002  6.8358851229070224E+003  -5.9759097230812122E+003  -6.3778565865523241E+001  2.8597560341436758E+002  0.0000000000000000E+000  2.8597560341436758E+002  1.0821724373746536E+003  6.8337600258478233E+000   -1.9773006123011427E+001  -2.7605030454711228E+000  1.5345501487108045E+003  6.4433660050277197E+001  -1.5507994171299075E+002  0.0000000000000000E+000  -3.7432648836696131E+001  0.0000000000000000E+000  0.0000000000000000E+000  2.4728240912801084E+003  2.6265657580866937E+000
  0.00700000  50  929.07611944973223  6.5228016160896350E+003  5.9571274919164614E+002  7.1185143652812812E+003  -6.2337610662355819E+003  -6.5403033066524600E+001  3.0595859595929568E+002  0.0000000000000000E+000  3.0595859595929568E+002  1.1253088619384694E+003  3.0562090247594824E+000   -2.0552705893922791E+001  -2.6434071163092064E-006  1.5993837902790610E+003  6.8956212226955444E+001  -1.6608623728200544E+002  0.0000000000000000E+000  -3.6839531938155922E+001  0.0000000000000000E+000  0.0000000000000000E+000  2.5709489776499086E+003  2.6258928458944379E+000
  0.00700000  52  965.09627255481621  6.7842500466026559E+003  6.1879531901402140E+002  7.4030453656166774E+003  -6.4923337896998428E+003  -6.6990783937066169E+001  3.2644980446019866E+002  0.0000000000000000E+000  3.2644980446019866E+002  1.1701705964399703E+003  6.5658033602985597E+000   -2.1342583868664061E+001  -2.3190170214978845E+000  1.6639917101851247E+003  7.3590078803435119E+001  -1.7736875664221520E+002  0.0000000000000000E+000  -3.6273942813099218E+001  0.0000000000000000E+000  0.0000000000000000E+000  2.6726059952564447E+003  2.6276824204089464E+000
  0.00700000  54  1004.4916602082167  7.0608458112292083E+003  6.4159162618320488E+002  7.7024374374124127E+003  -6.7551564792975614E+003  -6.8527142563119270E+001  3.4740588599744274E+002  0.0000000000000000E+000  3.4740588599744274E+002  1.2261597015491750E+003  7.8387388675946568E+000   -2.2217931685190969E+001  -3.0510514400921527E+000  1.7267323683246150E+003  7.8259680635128007E+001  -1.8874818590888685E+002  0.0000000000000000E+000  -3.6419881430164821E+001  0.0000000000000000E+000  0.0000000000000000E+000  2.7827267983423417E+003  2.6289548637486342E+000
  0.00700000  56  1040.9434592481975  7.3247273651974638E+003  6.6459465607782977E+002  7.9893220212752931E+003  -7.0149331502718796E+003  -7.0068592097145682E+001  3.6890854962409855E+002  0.0000000000000000E+000  3.6890854962409855E+002  1.2732288285303646E+003  6.9765351168571215E+000   -2.3018368532331166E+001  -2.2333594856991326E+000  1.7911007205032672E+003  8.3117253035205195E+001  -2.0058517115240085E+002  0.0000000000000000E+000  -3.6547334116420231E+001  0.0000000000000000E+000  0.0000000000000000E+000  2.8847752300152620E+003  2.6298303761178974E+000
  0.00700000  58  1085.6214932649773  7.6255664527039580E+003  6.8725638523574594E+002  8.3128228379397042E+003  -7.2851428559596934E+003  -7.1566103547589051E+001  3.9083517940481511E+002  0.0000000000000000E+000  3.9083517940481511E+002  1.3469490578372361E+003  4.1032648220038936E+000   -2.4028359360670652E+001  -2.8914545848077516E-006  1.8509398557859290E+003  8.7878749265447865E+001  -2.1220613653276624E+002  0.0000000000000000E+000  -3.6109641768342982E+001  0.0000000000000000E+000  0.0000000000000000E+000  3.0082605349257246E+003  2.6303615105404972E+000
  0.00700000  60  1117.4670732563707  7.8692368344907545E+003  7.1028599822188278E+002  8.5795228327126370E+003  -7.5397077171416176E+003  -7.3067499495124480E+001  4.1335126217586310E+002  0.0000000000000000E+000  4.1335126217586310E+002  1.3800988782517600E+003  7.8892718354090903E+000   -2.4710087487035736E+001  -2.6001820049684832E+000  1.9178380775692260E+003  9.3082497334107273E+001  -2.2488714365862364E+002  0.0000000000000000E+000  -3.5538952529876980E+001  0.0000000000000000E+000  0.0000000000000000E+000  3.0997707318398734E+003  2.6325752984895296E+000
