# rho_B   Z   N                   tau_n                    tau_p                    tau_t                    field                     spin-orbit                coul_dir                 coul_exc                 coul_tot                 skyrme                    strut_p                  pair_n                   e_pair_bcs_p             k_e                      coul_ee                  coul_pe                   mu_n                     mu_p                     mu_e                     mu_t                     e_t                      e/a_t
  0.0013  20  190.14729981055552  1.1818978787963665E+003  2.7531942002193699E+002  1.4572172988183036E+003  -1.8156870471460118E+003  -3.5147768720196240E+001  7.0779340434863940E+001  0.0000000000000000E+000  7.0779340434863940E+001  -3.2283817661304016E+002  1.6398234062172605E+000  0.0000000000000000E+000  0.0000000000000000E+000  4.4619200077316060E+002  1.0752824812448928E+001  -2.5461293869266875E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  9.4638318509398715E+001  4.5034277667292716E-001
  0.0013  22  209.06715625133870  1.3067995332667506E+003  3.0307779423654455E+002  1.6098773275032952E+003  -2.0140160269155390E+003  -3.7509981158419727E+001  8.3097717902717022E+001  0.0000000000000000E+000  8.3097717902717022E+001  -3.5855096266794862E+002  6.5974149615058195E+000  0.0000000000000000E+000  0.0000000000000000E+000  4.9087986516842255E+002  1.2567813593140940E+001  -2.9849187830306267E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.0443339722473166E+002  4.5194672389598034E-001
  0.0013  24  225.52277566892209  1.4282842077832327E+003  3.3080596152791333E+002  1.7590901693111459E+003  -2.2122793381067131E+003  -3.9774507435837144E+001  9.6190255552009518E+001  0.0000000000000000E+000  9.6190255552009518E+001  -3.9677342067939566E+002  8.7991873250596200E+000  0.0000000000000000E+000  0.0000000000000000E+000  5.3736427121004328E+002  1.4540690683085222E+001  -3.4624031011048693E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.1053046552768573E+002  4.4296744146889211E-001
  0.0013  26  240.06436761627779  1.5472738891423257E+003  3.5853733774933420E+002  1.9058112268916600E+003  -2.4107063935929100E+003  -4.1956994376569185E+001  1.1003464339151823E+002  0.0000000000000000E+000  1.1003464339151823E+002  -4.3681751768629948E+002  8.5818451863337941E+000  0.0000000000000000E+000  0.0000000000000000E+000  5.8529797548499357E+002  1.6666094944974148E+001  -3.9773511693672056E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.1361396823628874E+002  4.2701685029494801E-001
  0.0013  28  252.79360959036791  1.6637870362049096E+003  3.8621897153720533E+002  2.0500060077421149E+003  -2.6090911035025842E+003  -4.4062294195945746E+001  1.2460678436699382E+002  0.0000000000000000E+000  1.2460678436699382E+002  -4.7854060558941973E+002  6.2175559574341150E+000  0.0000000000000000E+000  0.0000000000000000E+000  6.3467933101444783E+002  1.8946841683059645E+001  -4.5304477637350878E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.1409304142814079E+002  4.0632349715424448E-001
  0.0013  30  271.53304758851903  1.7900043847881359E+003  4.1367910501338116E+002  2.2036834898015172E+003  -2.8104043981761042E+003  -4.6105814787354674E+001  1.3985395207174409E+002  0.0000000000000000E+000  1.3985395207174409E+002  -5.1297277109020172E+002  1.0084579983723188E+001  0.0000000000000000E+000  0.0000000000000000E+000  6.7948864469489945E+002  2.1201937292112579E+001  -5.0787364642293340E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.2354473623821801E+002  4.0971121921377662E-001
  0.0013  32  287.28307541050810  1.9118918532200103E+003  4.4113946397039240E+002  2.3530313171904027E+003  -3.0111670196367349E+003  -4.8086184659557865E+001  1.5579583814045020E+002  0.0000000000000000E+000  1.5579583814045020E+002  -5.5042604896544174E+002  1.1363411590400801E+001  0.0000000000000000E+000  0.0000000000000000E+000  7.2660244990160129E+002  2.3629883031620626E+001  -5.6692393143487728E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.2944232641467670E+002  4.0541555874112550E-001
  0.0013  34  302.91240959870402  2.0339980786842118E+003  4.6857994422123284E+002  2.5025780229054444E+003  -3.2125562371546939E+003  -5.0015637851788483E+001  1.7240802219818050E+002  0.0000000000000000E+000  1.7240802219818050E+002  -5.8758582990286129E+002  1.0324989566480326E+001  0.0000000000000000E+000  0.0000000000000000E+000  7.7382645598109798E+002  2.6164682246816778E+001  -6.2862907791807672E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.3326772809971396E+002  3.9555600892831339E-001
  0.0013  36  318.33086842170957  2.1560574146809049E+003  4.9593824674646714E+002  2.6519956614273719E+003  -3.4143290347132152E+003  -5.1892330426489472E+001  1.8966999935772526E+002  0.0000000000000000E+000  1.8966999935772526E+002  -6.2455570435460470E+002  9.9556263979866344E+000  0.0000000000000000E+000  0.0000000000000000E+000  8.2123175258986976E+002  2.8807078138932049E+001  -6.9300468259693773E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.3797393651248072E+002  3.8939293414288983E-001
  0.0013  38  332.93091621624779  2.2771180612776457E+003  5.2322964746810976E+002  2.8003477087457554E+003  -3.6162214140407596E+003  -5.3720275448009559E+001  2.0757138142029731E+002  0.0000000000000000E+000  2.0757138142029731E+002  -6.6202259932271738E+002  8.3534889826439667E+000  0.0000000000000000E+000  0.0000000000000000E+000  8.6930465896102862E+002  3.1573072863397293E+001  -7.6043125965347627E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.4143646151899779E+002  3.8130135649370694E-001
  0.0013  40  348.74766084842753  2.4004003232701011E+003  5.5043109718069502E+002  2.9508314204507960E+003  -3.8190702948334524E+003  -5.5506998965348195E+001  2.2608970542097782E+002  0.0000000000000000E+000  2.2608970542097782E+002  -6.9765616792702838E+002  7.8333574662394767E+000  0.0000000000000000E+000  0.0000000000000000E+000  9.1642321587382048E+002  3.4403623226120814E+001  -8.2949777933255334E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.4676053070589160E+002  3.7751305184256911E-001
  0.0013  42  367.15124934972732  2.5279407933157140E+003  5.7748084462778831E+002  3.1054216379435024E+003  -4.0232893635888026E+003  -5.7253206803415324E+001  2.4520167841506364E+002  0.0000000000000000E+000  2.4520167841506364E+002  -7.2991925403364951E+002  1.0380533911081557E+001  0.0000000000000000E+000  0.0000000000000000E+000  9.6146984446380577E+002  3.7251232054287982E+001  -8.9906367841755468E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.5641758255376612E+002  3.8229770238306532E-001
  0.0013  44  384.72900714066236  2.6545265529850503E+003  6.0450441716097976E+002  3.2590309701460301E+003  -4.2276522149653283E+003  -5.8962967611911999E+001  2.6491790634915645E+002  0.0000000000000000E+000  2.6491790634915645E+002  -7.6266630608205230E+002  1.1418331967995755E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.0071786078977299E+003  4.0214009524645718E+001  -9.7147164131729681E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.6457438717658604E+002  3.8385787769946600E-001
  0.0013  46  401.36329698417018  2.7798687132668874E+003  6.3147436150469014E+002  3.4113430747715774E+003  -4.4319883684842816E+003  -6.0635453356587064E+001  2.8522615263771735E+002  0.0000000000000000E+000  2.8522615263771735E+002  -7.9605459443157804E+002  1.1056364840391552E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.0536431425571750E+003  4.3296626897372072E+001  -1.0468338130642506E+002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.7127038055693285E+002  3.8283641765806525E-001
  0.0013  48  416.78029509803639  2.9036036157400113E+003  6.5845416897488064E+002  3.5620577847148920E+003  -4.6362996531450444E+003  -6.2277543093954904E+001  3.0612382509013315E+002  0.0000000000000000E+000  3.0612382509013315E+002  -8.3039558643397572E+002  9.3965483406050225E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.1010897273455125E+003  4.6509676177180154E+001  -1.1254049559201083E+002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.7650740583730902E+002  3.7976525188089483E-001
  0.0013  50  431.63261678671495  3.0266561755740568E+003  6.8533630896429327E+002  3.7119924845383503E+003  -4.8406248893959410E+003  -6.3883643343001339E+001  3.2758886272748168E+002  0.0000000000000000E+000  3.2758886272748168E+002  -8.6492718547310915E+002  6.5235385191465411E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.1490035387320891E+003  4.9833286249957219E+001  -1.2067086821574144E+002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.8064515981234058E+002  3.7506836853665620E-001
  0.0013  52  452.49141327233997  3.1592996672965746E+003  7.1195176637749012E+002  3.8712514336740646E+003  -5.0475385420260600E+003  -6.5460238108733677E+001  3.4956512956470181E+002  0.0000000000000000E+000  3.4956512956470181E+002  -8.9218221689602728E+002  9.8806905995791112E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.1920579823255850E+003  5.3035724263741180E+001  -1.2851788404100259E+002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.9359246025187414E+002  3.8373786978069285E-001
  0.0013  54  472.39998993055235  3.2907450539947149E+003  7.3856530291185049E+002  4.0293103569065652E+003  -5.2544663095206834E+003  -6.7011440452909881E+001  3.7210167219037561E+002  0.0000000000000000E+000  3.7210167219037561E+002  -9.2006572087664995E+002  1.1649191512335165E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.2358968049974835E+003  5.6351968627322570E+001  -1.3664523684231304E+002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  2.0494048541817693E+002  3.8931764571825123E-001
  0.0013  56  489.71056355926521  3.4183567089088001E+003  7.6521538674563214E+002  4.1835720956544319E+003  -5.4607239630737267E+003  -6.8536385780977696E+001  3.9520052570283610E+002  0.0000000000000000E+000  3.9520052570283610E+002  -9.5048772749744012E+002  1.1938731101496160E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.2818193079895439E+003  5.9842966425975796E+001  -1.4519959347445092E+002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  2.1410247654512369E+002  3.9233705711800504E-001
  0.0013  58  507.34004620268064  3.5467260506672674E+003  7.9181125584005417E+002  4.3385373065073218E+003  -5.6674315143078211E+003  -7.0037529697941665E+001  4.1883207755493908E+002  0.0000000000000000E+000  4.1883207755493908E+002  -9.8009965994350034E+002  1.0850870248479168E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.3274867293577270E+003  6.3405014485346399E+001  -1.5393170045129028E+002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  2.2233535969676115E+002  3.9327721641177971E-001
  0.0013  60  527.65317625938769  3.6794703453886009E+003  8.1824592767244178E+002  4.4977162730610426E+003  -5.8753828387931571E+003  -7.1513635899768147E+001  4.4296541761995940E+002  0.0000000000000000E+000  4.4296541761995940E+002  -1.0062147840119270E+003  1.3016760238208917E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.3710151303547837E+003  6.6946293138834605E+001  -1.6262031354322971E+002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  2.3520250617666989E+002  4.0024033848290730E-001
