# rho_B       Z   N                   tau_n                    tau_p                    tau_t                    field                     spin-orbit                coul_dir                 coul_exc                 coul_tot                 skyrme                   strut_p                   pair_n                   e_pair_bcs_p             k_e                      coul_ee                  coul_pe                   mu_n                     mu_p                     mu_e                     mu_t                     e_t                      e/a_t
  0.04000000  20  565.45249205654511  8.3637532818514937E+003  1.4808542686593557E+002  8.5118387087174287E+003  -5.7021287931579727E+003  -2.3578374857669520E+001  5.2702257712249079E+001  0.0000000000000000E+000  5.2702257712249079E+001  2.8388337984140385E+003  -1.1695084261214106E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.0059714930585973E+003  2.3952822978600558E+001  -5.4788587542764731E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  3.7971531584823233E+003  6.4858433605622512E+000
  0.04000000  22  623.82996235731082  9.2314400894015289E+003  1.6271053597155839E+002  9.3941506253730877E+003  -6.2938278517630033E+003  -2.5020977212490411E+001  6.1767955832768308E+001  0.0000000000000000E+000  6.1767955832768308E+001  3.1370697522303617E+003  2.7135639816190178E+000   0.0000000000000000E+000  0.0000000000000000E+000  1.1055106769232266E+003  2.7965084510717301E+001  -6.4166936875643543E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  4.1918805948581103E+003  6.4894464145897643E+000
  0.04000000  24  679.91391914767621  1.0065813345211076E+004  1.7732067644777013E+002  1.0243134021658847E+004  -6.8693436489732576E+003  -2.6406998827779834E+001  7.1395279803148327E+001  0.0000000000000000E+000  7.1395279803148327E+001  3.4187786536609551E+003  4.9093587095080693E+000   0.0000000000000000E+000  0.0000000000000000E+000  1.2063737162291829E+003  3.2254590524016962E+001  -7.4202543615203027E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  4.5693375435715470E+003  6.4901468848686319E+000
  0.04000000  26  734.39462492847929  1.0876493225189726E+004  1.9200851022747887E+002  1.1068501735417205E+004  -7.4335818263537058E+003  -2.7766706686426705E+001  8.1577025597363928E+001  0.0000000000000000E+000  8.1577025597363928E+001  3.6887302279744436E+003  5.6399076486336526E+000   0.0000000000000000E+000  0.0000000000000000E+000  1.3081644501877097E+003  3.6808915655595570E+001  -8.4868491308661973E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  4.9341340921577130E+003  6.4889123757931264E+000
  0.04000000  28  787.97808405122271  1.1676604680179022E+004  2.0658122433447841E+002  1.1883185904513501E+004  -7.9928063119287408E+003  -2.9065845717450511E+001  9.2271380863368393E+001  0.0000000000000000E+000  9.2271380863368393E+001  3.9535851277306747E+003  5.1053103753183677E+000   0.0000000000000000E+000  0.0000000000000000E+000  1.4104810994820698E+003  4.1613773201538642E+001  -9.6130459469524325E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  5.2927492473200718E+003  6.4863865228657049E+000
  0.04000000  30  841.24063010533007  1.2474256563610757E+004  2.2101803074241553E+002  1.2695274594353174E+004  -8.5509538534020430E+003  -3.0306725935778662E+001  1.0345783331006216E+002  0.0000000000000000E+000  1.0345783331006216E+002  4.2174718483254201E+003  5.6014644715378381E+000   0.0000000000000000E+000  0.0000000000000000E+000  1.5129922960938991E+003  4.6655346088051189E+001  -1.0795691082554970E+002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  5.6512937541793608E+003  6.4854636359896194E+000
  0.04000000  32  893.93168163746248  1.3262412558665923E+004  2.3546869274359443E+002  1.3497881251409517E+004  -9.1046470247259385E+003  -3.1524022395129840E+001  1.1514389946007647E+002  0.0000000000000000E+000  1.1514389946007647E+002  4.4768541037485302E+003  4.8531498677471063E+000   0.0000000000000000E+000  0.0000000000000000E+000  1.6158462685492059E+003  5.1933807631027790E+001  -1.2034865353506797E+002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  6.0041037002813982E+003  6.4834111110509918E+000
  0.04000000  34  945.29984268617579  1.4030487596790155E+004  2.4993734221309646E+002  1.4280424939003251E+004  -9.6486389853457495E+003  -3.2720550765926490E+001  1.2732222873355886E+002  0.0000000000000000E+000  1.2732222873355886E+002  4.7263876316251381E+003  2.9990048784507053E+000   0.0000000000000000E+000  0.0000000000000000E+000  1.7194901181559251E+003  5.7460395056569268E+001  -1.3332873209359201E+002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  6.3464087556224895E+003  6.4805573114673747E+000
  0.04000000  36  999.42410199929827  1.4838939681111537E+004  2.6419046073489932E+002  1.5103130141846435E+004  -1.0212550328280502E+004  -3.3856636648726713E+001  1.3992959352684920E+002  0.0000000000000000E+000  1.3992959352684920E+002  4.9966527704440550E+003  2.8949105785841311E+000   0.0000000000000000E+000  0.0000000000000000E+000  1.8215132512780906E+003  6.3150800150946687E+001  -1.4671127363094803E+002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  6.7093361108207264E+003  6.4797951852576512E+000
  0.04000000  38  1050.9098477016798  1.5612889754121064E+004  2.7846405177329871E+002  1.5891353805894363E+004  -1.0759716855174089E+004  -3.4978529633916928E+001  1.5300970593765970E+002  0.0000000000000000E+000  1.5300970593765970E+002  5.2496681270240160E+003  2.1331930556502812E+000   0.0000000000000000E+000  0.0000000000000000E+000  1.9251057507197863E+003  6.9108302173759085E+001  -1.6072036692467438E+002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  7.0555659720582398E+003  6.4785986748078708E+000
