# rho_B   Z   N                   tau_n                    tau_p                    tau_t                    field                     spin-orbit                coul_dir                 coul_exc                 coul_tot                 skyrme                    strut_p                   pair_n                    e_pair_bcs_p              k_e                      coul_ee                  coul_pe                   mu_n                     mu_p                      mu_e                     mu_t                     e_t                      e/a_t                    p_nucl                   p_e                      p_ex                     p_t
  0.0013  20  193.25766304412531  1.1866865160729897E+003  2.7524510544321669E+002  1.4619316215162064E+003  -1.8168071364128446E+003  -3.5150314475953707E+001  7.0769480235202749E+001  0.0000000000000000E+000  7.0769480235202749E+001  -3.1925634913738895E+002  -1.5397747662481152E+000  -1.7486264111449579E+001  -9.2359950972016028E-007  4.4396346146681850E+002  1.0700258769174848E+001  -2.5337898414920573E+001  0.0000000000000000E+000  -2.9973060829700334E+001  0.0000000000000000E+000  0.0000000000000000E+000  7.5396572882266199E+001  3.5354684002512415E-001  5.0574575545615341E-004  9.2236225579402629E-004  1.0715556327497942E-006  1.4291795668829293E-003
  0.0013  22  210.72611810193666  1.3093394077592520E+003  3.0303824083776021E+002  1.6123776485970122E+003  -2.0146065929154101E+003  -3.7511216758007841E+001  8.3092187588229280E+001  0.0000000000000000E+000  8.3092187588229280E+001  -3.5664797348817700E+002  4.6637662107524420E+000   -1.8912038137345785E+001  -3.5071758481270487E+000  4.8968458723455450E+002  1.2537861842539366E+001  -2.9778662831961995E+001  0.0000000000000000E+000  -2.8553743606520484E+001  0.0000000000000000E+000  0.0000000000000000E+000  8.0828818982151887E+001  3.4731305467543666E-001  5.0346655083648617E-004  9.3219145030190445E-004  1.0829730869961538E-006  1.4367409742253867E-003
  0.0013  24  227.25902488772726  1.4309741794275365E+003  3.3076196515026533E+002  1.7617361445778017E+003  -2.2129137815046465E+003  -3.9775685429285652E+001  9.6183780911819355E+001  0.0000000000000000E+000  9.6183780911819355E+001  -3.9476954144431102E+002  7.2457772813702377E+000   -2.0228247105857715E+001  -4.6180724310945527E+000  5.3609604169866770E+002  1.4507101491030930E+001  -3.4544736267123767E+001  0.0000000000000000E+000  -2.9081379646104796E+001  0.0000000000000000E+000  0.0000000000000000E+000  8.4912091222623943E+001  3.3793618444107804E-001  5.0004000862036396E-004  9.4519623801539367E-004  1.0980792526109746E-006  1.4463343258883687E-003
  0.0013  26  242.88030148550209  1.5516437224255556E+003  3.5846841032758425E+002  1.9101121327531398E+003  -2.4117541882599671E+003  -4.1959318648762689E+001  1.1002361434219543E+002  0.0000000000000000E+000  1.1002361434219543E+002  -4.3357775981339569E+002  6.7089336903659387E+000   -2.1436165359955940E+001  -3.7860977228541488E+000  5.8320218137032816E+002  1.6607679642177636E+001  -3.9635306038665000E+001  0.0000000000000000E+000  -2.9507457976436356E+001  0.0000000000000000E+000  0.0000000000000000E+000  8.7742547767959692E+001  3.2631626374058098E-001  4.9569742219756122E-004  9.6077721781033792E-004  1.1161778649336831E-006  1.4575908178728330E-003
  0.0013  28  258.00033084676801  1.6718575724424747E+003  3.8608643522994868E+002  2.0579440076724236E+003  -2.6110398579384300E+003  -4.4066211668000356E+001  1.2458476715495613E+002  0.0000000000000000E+000  1.2458476715495613E+002  -4.7257729477904905E+002  2.3284323868767842E+000   -2.2583470175511131E+001  -4.1125782962649801E-006  6.3071902245280387E+002  1.8831101789221925E+001  -4.5030123150812734E+001  0.0000000000000000E+000  -2.8925863429252381E+001  0.0000000000000000E+000  0.0000000000000000E+000  8.9782060410921176E+001  3.1392292499965491E-001  4.9118023816406239E-004  9.7677200199466799E-004  1.1347571243944362E-006  1.4690869972831249E-003
  0.0013  30  275.21936940754921  1.7957121519675009E+003  4.1357911061608252E+002  2.2092912625835834E+003  -2.8117707389326265E+003  -4.6108064381190751E+001  1.3983710704815729E+002  0.0000000000000000E+000  1.3983710704815729E+002  -5.0875043368207611E+002  8.9772666068224680E+000   -2.3962616604654215E+001  -4.8162469307864937E+000  6.7668159655150987E+002  2.1116194365613627E+001  -5.0583747878633098E+001  0.0000000000000000E+000  -2.8405961439940832E+001  0.0000000000000000E+000  0.0000000000000000E+000  9.5191722427774039E+001  3.1187148372400147E-001  4.9003024393771792E-004  9.8193726611747680E-004  1.1407569996585888E-006  1.4731082670548534E-003
  0.0013  32  292.12973345751004  1.9194042476701327E+003  4.4101047748522939E+002  2.3604147251553622E+003  -3.0129770735426705E+003  -4.8089226079482543E+001  1.5577279209079217E+002  0.0000000000000000E+000  1.5577279209079217E+002  -5.4487878237599932E+002  1.0894711247058240E+001   -2.5301758435019416E+001  -5.7570120597726504E+000  7.2288277794288399E+002  2.3511459446634237E+001  -5.6410727382908192E+001  0.0000000000000000E+000  -2.8716306463273881E+001  0.0000000000000000E+000  0.0000000000000000E+000  9.9905692382860352E+001  3.0822748446046533E-001  4.8861258215264611E-004  9.8774919525285035E-004  1.1475080264364203E-006  1.4775092854319330E-003
  0.0013  34  308.53107948994125  2.0427179201916840E+003  4.6843057557303803E+002  2.5111484957647222E+003  -3.2146695987290227E+003  -5.0019045149123627E+001  1.7237996974208122E+002  0.0000000000000000E+000  1.7237996974208122E+002  -5.8116017837134211E+002  9.9415555825578394E+000   -2.6580269724313577E+001  -4.8305300829125661E+000  7.6947882556400566E+002  2.6020767115251381E+001  -6.2520129049789674E+001  0.0000000000000000E+000  -2.8972704500615947E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.0375037903344469E+002  3.0289332923484907E-001  4.8671271095318471E-004  9.9489569180378286E-004  1.1558092576962598E-006  1.4827642120146640E-003
  0.0013  36  324.25048791515781  2.1652581996754138E+003  4.9577811660421276E+002  2.6610363162796266E+003  -3.4165713811044079E+003  -5.1896000948986462E+001  1.8963875968481756E+002  0.0000000000000000E+000  1.8963875968481756E+002  -6.1779230608895227E+002  7.6833994305875422E+000   -2.7779639843391998E+001  -3.3122276539187658E+000  8.1660992435080584E+002  2.8648354158623988E+001  -6.8921937704541506E+001  0.0000000000000000E+000  -2.9048655141608023E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.0697121864920365E+002  2.9693566625821349E-001  4.8420832773695506E-004  1.0038528749994585E-003  1.1662137415419373E-006  1.4892274164779555E-003
  0.0013  38  340.07607700990587  2.2882425635768573E+003  5.2302490677518165E+002  2.8112674703520388E+003  -3.6189337154896411E+003  -5.3724056892215216E+001  2.0753094524136347E+002  0.0000000000000000E+000  2.0753094524136347E+002  -6.5385935678845215E+002  5.2347021348136877E+000   -2.8988890099108222E+001  -1.7728235018193703E+000  8.6367346942662493E+002  3.1372829156293363E+001  -7.5565026126693908E+001  0.0000000000000000E+000  -2.8898860606933752E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.1036587020165133E+002  2.9190784696823902E-001  4.8204732293726909E-004  1.0116085440779552E-003  1.1752225656325365E-006  1.4948310895808569E-003
  0.0013  40  356.75730087539614  2.4128408819449915E+003  5.5020325476703704E+002  2.9630441367120284E+003  -3.8221029115655556E+003  -5.5510807523758139E+001  2.2604280164862581E+002  0.0000000000000000E+000  2.2604280164862581E+002  -6.8852678072865876E+002  3.2185080991516770E+000   -3.0288444533435189E+001  -2.6178734994586039E-001  9.1007932854161561E+002  3.4170446668265697E+001  -8.2392452425667429E+001  0.0000000000000000E+000  -2.8312086699413022E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.1470509827132040E+002  2.8910645883025959E-001  4.8097289085600201E-004  1.0157502782659679E-003  1.1800335161005148E-006  1.4979032026380705E-003
  0.0013  42  373.89904641237376  2.5384379132000836E+003  5.7729566043664943E+002  3.1157335736367331E+003  -4.0258584435268581E+003  -5.7256953271298229E+001  2.4516155702004741E+002  0.0000000000000000E+000  2.4516155702004741E+002  -7.2222026614137678E+002  7.6895260807966679E+000   -3.1637171709238775E+001  -4.2425245505120666E+000  9.5612781219427234E+002  3.7048594326185203E+001  -8.9421545407345022E+001  0.0000000000000000E+000  -2.8095811896685301E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.2048601879277737E+002  2.8970015640083246E-001  4.8044488763629889E-004  1.0180180611776431E-003  1.1826677240015477E-006  1.4996456165379435E-003
  0.0013  44  390.44593029039117  2.6634209774342935E+003  6.0435786987056963E+002  3.2677788473048631E+003  -4.2298480498051531E+003  -5.8967148388187489E+001  2.6488369127767311E+002  0.0000000000000000E+000  2.6488369127767311E+002  -7.5615265961080320E+002  8.8537970543868596E+000   -3.2916416652360653E+001  -5.2168493988048308E+000  1.0026446054330891E+003  4.0036771953155906E+001  -9.6722725252731934E+001  0.0000000000000000E+000  -2.8201032805059054E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.2610343152592792E+002  2.9026266039943233E-001  4.7936899486393779E-004  1.0219503870537864E-003  1.1872354283009866E-006  1.5025066173460250E-003
  0.0013  46  408.73948770281055  2.7913498903066125E+003  6.3127126230620229E+002  3.4226211526128145E+003  -4.4348004816027133E+003  -6.0639487596588218E+001  2.8517921683156635E+002  0.0000000000000000E+000  2.8517921683156635E+002  -7.8763959975491946E+002  8.2412378032684046E+000   -3.4388640513430573E+001  -5.0132414725667855E+000  1.0477904729009140E+003  4.3061165853255396E+001  -1.0411901992635886E+002  0.0000000000000000E+000  -2.8329523129006638E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.3194459689015949E+002  2.9014846279694922E-001  4.7998625096124545E-004  1.0203143911920547E-003  1.1853350911983931E-006  1.5014859772444985E-003
  0.0013  48  427.04584160827761  2.9195619980851006E+003  6.5814667159723365E+002  3.5777086696823344E+003  -4.6401686675425544E+003  -6.2281074877241871E+001  3.0605395327954710E+002  0.0000000000000000E+000  3.0605395327954710E+002  -8.1868711945791392E+002  6.0137801439375380E+000   -3.5857533669053716E+001  -3.8124123049540435E+000  1.0929269408941616E+003  4.6172099262600845E+001  -1.1173072929893645E+002  0.0000000000000000E+000  -2.8404342067157756E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.3747256156983974E+002  2.8938799065018161E-001  4.8054547627637449E-004  1.0187821525996657E-003  1.1835552760892349E-006  1.5005111841521295E-003
  0.0013  50  442.21222892701542  3.0431546685111480E+003  6.8503299276848452E+002  3.7281876612796323E+003  -4.8446765711347389E+003  -6.3888624425532669E+001  3.2751550201050685E+002  0.0000000000000000E+000  3.2751550201050685E+002  -8.5286203227013232E+002  8.8878636600907157E-001   -3.6976473345521910E+001  -3.3161580917684688E-006  1.1405317539902207E+003  4.9473538248162370E+001  -1.1980731472169934E+002  0.0000000000000000E+000  -2.7539733242559638E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.4213110495087884E+002  2.8875435186487619E-001  4.7837060330123464E-004  1.0260399287942265E-003  1.1919857498712418E-006  1.5056025178453324E-003
