# rho_B       Z   N                   tau_n                    tau_p                    tau_t                    field                     spin-orbit                coul_dir                 coul_exc                 coul_tot                 skyrme                   strut_p                   pair_n                    e_pair_bcs_p              k_e                      coul_ee                  coul_pe                   mu_n                     mu_p                      mu_e                     mu_t                     e_t                      e/a_t                    p_nucl                   p_e                      p_ex                     p_t
  0.00500000  20  376.39626199883901  2.2505722883924673E+003  2.5012313894226051E+002  2.5006954273347278E+003  -2.2169411544753198E+003  -3.5588802965145497E+001  6.7616877691344641E+001  0.0000000000000000E+000  6.7616877691344641E+001  3.1578234758560689E+002  -1.3819257085691561E+000  -6.2768176135990331E+001  -5.5522890632875120E-007  5.6847679110968068E+002  1.3636914258269881E+001  -3.2183509958885800E+001  0.0000000000000000E+000  -3.6297975288798554E+001  0.0000000000000000E+000  0.0000000000000000E+000  7.8591558059480337E+002  1.9826513414162954E+000  5.3009187644499651E-003  2.4323044961831416E-003  2.8254245861796495E-006  7.7360486852192855E-003
  0.00500000  22  411.71428150996917  2.4737613317921473E+003  2.7521732391171622E+002  2.7489786557038633E+003  -2.4518849379980325E+003  -3.7917499690743888E+001  7.9357411762094060E+001  0.0000000000000000E+000  7.9357411762094060E+001  3.3853362977718069E+002  4.8507711665932902E+000   -6.8502682071547127E+001  -3.3245383990165833E+000  6.2645786689988108E+002  1.5964812501162713E+001  -3.7791170078245557E+001  0.0000000000000000E+000  -3.4881511335033856E+001  0.0000000000000000E+000  0.0000000000000000E+000  8.5897714379595482E+002  1.9803905682928684E+000  5.2974213991091078E-003  2.4496811648463813E-003  2.8456079802491400E-006  7.7499481719357378E-003
  0.00500000  24  445.55263326875843  2.6918712841895040E+003  3.0023386483851277E+002  2.9921051490280170E+003  -2.6862001254004003E+003  -4.0150536088783625E+001  9.1826799054839270E+001  0.0000000000000000E+000  9.1826799054839270E+001  3.5758128659367378E+002  7.5423911572534053E+000   -7.3929771456930808E+001  -4.2603668039228033E+000  6.8517651233041613E+002  1.8455102771377216E+001  -4.3798892392415404E+001  0.0000000000000000E+000  -3.5395034520969752E+001  0.0000000000000000E+000  0.0000000000000000E+000  9.2799003019941381E+002  1.9763280289433547E+000  5.2882661105031047E-003  2.4746889446604779E-003  2.8746550717265912E-006  7.7658297102353091E-003
  0.00500000  26  478.16218506420239  2.9062679940783801E+003  3.2524321349156224E+002  3.2315112075699421E+003  -2.9203357842757136E+003  -4.2308672556020674E+001  1.0500592360355759E+002  0.0000000000000000E+000  1.0500592360355759E+002  3.7387267434176835E+002  7.1998586485417491E+000   -7.9117382347609848E+001  -3.2838358651044213E+000  7.4452493653068427E+002  2.1103719985828004E+001  -5.0196918546594617E+001  0.0000000000000000E+000  -3.5833428549079215E+001  0.0000000000000000E+000  0.0000000000000000E+000  9.9376213474748715E+002  1.9710051512671876E+000  5.2754457513457713E-003  2.5043165504879290E-003  2.9090681771833643E-006  7.7826713700108836E-003
  0.00500000  28  509.59520415484377  3.1167084012909436E+003  3.5017255112747273E+002  3.4668809524184162E+003  -3.1539897069636909E+003  -4.4391029165052878E+001  1.1886932621400942E+002  0.0000000000000000E+000  1.1886932621400942E+002  3.8736954250368376E+002  3.5677347795947298E+000   -8.4062983931102153E+001  -8.5177172629537379E-006  8.0449277837003558E+002  2.3909147569642336E+001  -5.6981360299152996E+001  0.0000000000000000E+000  -3.5456190678361416E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.0563892464749649E+003  1.9649214612819741E+000  5.2598390881145691E-003  2.5375959417243714E-003  2.9477228894628138E-006  7.8003827527284037E-003
  0.00500000  30  544.04059277665772  3.3380933027375354E+003  3.7493806587992356E+002  3.7130313686174591E+003  -3.3908325755092574E+003  -4.6402602079032576E+001  1.3338288186467815E+002  0.0000000000000000E+000  1.3338288186467815E+002  4.0917907289384954E+002  8.5515936100266572E+000   -8.9595082494889652E+001  -3.5718390178878048E+000  8.6295062673063376E+002  2.6805351369785580E+001  -6.3996628642333597E+001  0.0000000000000000E+000  -3.5097593264590607E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.1268528044491702E+003  1.9630193728902869E+000  5.2568874776921966E-003  2.5491221468902799E-003  2.9611108138857911E-006  7.8089707353963629E-003
  0.00500000  32  577.19601034983214  3.5554326212013948E+003  3.9975070075252887E+002  3.9551833219539235E+003  -3.6273223225281672E+003  -4.8368106579662033E+001  1.4855577738803760E+002  0.0000000000000000E+000  1.4855577738803760E+002  4.2804867023413254E+002  9.4056433217660924E+000   -9.4870946521872199E+001  -3.9062921025835529E+000  9.2207364331369126E+002  2.9852532096814372E+001  -7.1383757582752494E+001  0.0000000000000000E+000  -3.5412608155801173E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.1941845167591857E+003  1.9602631935669359E+000  5.2499032744330182E-003  2.5665118164188783E-003  2.9813092678891910E-006  7.8193964001197856E-003
  0.00500000  34  611.34313907926389  3.7765702093959080E+003  4.2441580411322212E+002  4.2009860135091303E+003  -3.8651020579282704E+003  -5.0271963574171139E+001  1.6434900211766924E+002  0.0000000000000000E+000  1.6434900211766924E+002  4.4996099412435802E+002  7.7059308172861165E+000   -1.0033952940393324E+002  -2.6126814731337311E+000  9.8069466808021434E+002  3.3011794745282486E+001  -7.9050709512670622E+001  0.0000000000000000E+000  -3.5615777239999460E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.2627708053773956E+003  1.9567432097858963E+000  5.2467957819921579E-003  2.5767392397235043E-003  2.9931886248444912E-006  7.8265282103405064E-003
  0.00500000  36  640.63432755606766  3.9807120659752213E+003  4.4910251568418778E+002  4.4298145816594088E+003  -4.0990296541621328E+003  -5.2127509679621838E+001  1.8077518177218099E+002  0.0000000000000000E+000  1.8077518177218099E+002  4.5943259958983725E+002  6.3734188820892541E+000   -1.0484354161356252E+002  -2.0789334255143719E+000  1.0418425921679202E+003  3.6382660289507008E+001  -8.7232165143281307E+001  0.0000000000000000E+000  -3.5576198179290536E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.3217122827469896E+003  1.9533627380672298E+000  5.2291584524562437E-003  2.6106658698659851E-003  3.0325950707558809E-006  7.8428569173929850E-003
  0.00500000  38  673.49848093406558  4.1978802926903636E+003  4.7364234093525272E+002  4.6715226336256164E+003  -4.3365839545843337E+003  -5.3935138532551186E+001  1.9778854761831118E+002  0.0000000000000000E+000  1.9778854761831118E+002  4.7879208812703826E+002  4.9119925219813467E+000   -1.1005018971881610E+002  -1.4560477976041568E+000  1.1011500411900606E+003  3.9816700519802168E+001  -9.5577492570823466E+001  0.0000000000000000E+000  -3.5470347679395665E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.3878580582716343E+003  1.9506128199292128E+000  5.2235305365648322E-003  2.6240151573814533E-003  3.0481005238987714E-006  7.8505937944701835E-003
