# rho_B   Z   N                   tau_n                    tau_p                    tau_t                    field                     spin-orbit                coul_dir                 coul_exc                  coul_tot                 skyrme                    strut_p                   pair_n                   e_pair_bcs_p             k_e                      coul_ee                  coul_pe                   mu_n                     mu_p                     mu_e                     mu_t                     e_t                      e/a_t
  0.0013  20  198.76149407512611  1.1301569670933497E+003  2.7374716406449659E+002  1.4039041311578462E+003  -1.7392096035547852E+003  -3.3815536369344521E+001  7.1685766713666524E+001  -6.8403232503868638E+000  6.4845443463279693E+001  -3.0427556530300154E+002  -2.0257329868978786E+000  0.0000000000000000E+000  0.0000000000000000E+000  4.4012431857417744E+002  1.0609701716923951E+001  -2.5124859244374768E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.0366100275668305E+002  4.7385397138804708E-001
  0.0013  22  219.08151817899483  1.2497540434674586E+003  3.0184677290244537E+002  1.5516008163699039E+003  -1.9292793192835188E+003  -3.6209477577617974E+001  8.4169433387601714E+001  -7.5485660313485425E+000  7.6620867356253186E+001  -3.3726711313498043E+002  2.7861029791183682E+000   0.0000000000000000E+000  0.0000000000000000E+000  4.8383271250067406E+002  1.2391222191590032E+001  -2.9433044663369614E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.1509833387293131E+002  4.7742495874607949E-001
  0.0013  24  237.57231632802578  1.3669648575292076E+003  3.2993705961392158E+002  1.6969019171431291E+003  -2.1195621588163685E+003  -3.8507062416526651E+001  9.7436194630532441E+001  -8.2574455101893953E+000  8.9178749120342943E+001  -3.7198855496942394E+002  4.8014720267391340E+000   0.0000000000000000E+000  0.0000000000000000E+000  5.2879640054944355E+002  1.4313768243045855E+001  -3.4088154285908935E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.2305869956382341E+002  4.7045765886031243E-001
  0.0013  26  252.19130415779014  1.4787169639286103E+003  3.5805273995969105E+002  1.8367697038883014E+003  -2.3092740551003776E+003  -4.0719512501936990E+001  1.1146789685826400E+002  -8.9672995643705704E+000  1.0250059729389342E+002  -4.1072326642012064E+002  4.3412544243826687E+000   0.0000000000000000E+000  0.0000000000000000E+000  5.7647552257656275E+002  1.6420188622312534E+001  -3.9191748454112535E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.2698103274897173E+002  4.5643891717205148E-001
  0.0013  28  265.80982801638305  1.5892364598680263E+003  3.8614315331969834E+002  1.9753796131877245E+003  -2.4992815259043332E+003  -4.2855934699583152E+001  1.2623580544495692E+002  -9.6774329320212367E+000  1.1655837251293575E+002  -4.5019947490325683E+002  1.6721052651259924E+000   0.0000000000000000E+000  0.0000000000000000E+000  6.2495586730397906E+002  1.8662672589533585E+001  -4.4631160752779103E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.2855440550256350E+002  4.3754290443441468E-001
  0.0013  30  286.46930291088387  1.7106624860359670E+003  4.1404275927893661E+002  2.1247052453149036E+003  -2.6923515364185541E+003  -4.4922830956237775E+001  1.4169185888582794E+002  -1.0385737569534779E+001  1.3130612131629320E+002  -4.8126300074359477E+002  6.0540053504046227E+000   0.0000000000000000E+000  0.0000000000000000E+000  6.6838713583331980E+002  2.0862833367793755E+001  -4.9982629841255054E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.4058805396665201E+002  4.4422732523717445E-001
  0.0013  32  304.90942559182309  1.8289981229335599E+003  4.4193298985402890E+002  2.2709311127875890E+003  -2.8851896128605817E+003  -4.6926921195060920E+001  1.5784734133979066E+002  -1.1094402133376221E+001  1.4675293920641448E+002  -5.1443248206163798E+002  7.7256822242952694E+000   0.0000000000000000E+000  0.0000000000000000E+000  7.1342036425123342E+002  2.3210201197826464E+001  -5.5695032221863791E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.4919375738985124E+002  4.4283046438124585E-001
  0.0013  34  320.75957711560301  1.9437202530047844E+003  4.6982048058731351E+002  2.4135407335920977E+003  -3.0776457155073099E+003  -4.8874392080663462E+001  1.7468801637452751E+002  -1.1803462470932217E+001  1.6288455390359533E+002  -5.5009482009227656E+002  6.9462970625377238E+000   0.0000000000000000E+000  0.0000000000000000E+000  7.6033706135227908E+002  2.5718154442694534E+001  -6.1800551670297281E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.5450647909492039E+002  4.3552447646554193E-001
  0.0013  36  336.54063121681139  2.0586048686048548E+003  4.9765342467532849E+002  2.5562582932801834E+003  -3.2705502634397362E+003  -5.0769098142154704E+001  1.9218911615139587E+002  -1.2512242792249033E+001  1.7967687335914690E+002  -5.8538419494256300E+002  5.6088906375423448E+000   0.0000000000000000E+000  0.0000000000000000E+000  8.0732984867169625E+002  2.8329653202695940E+001  -6.8163466744750806E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.5955638282460757E+002  4.2828243142718669E-001
  0.0013  38  351.53533650769810  2.1725298311852948E+003  5.2544781125191844E+002  2.6979776424372130E+003  -3.4636043279127721E+003  -5.2615326362427325E+001  2.1033976902366288E+002  -1.3220906781621562E+001  1.9711886224204133E+002  -6.2112314959594539E+002  2.9972705466543630E+000   0.0000000000000000E+000  0.0000000000000000E+000  8.5493239007183547E+002  3.1061996403272744E+001  -7.4824916105557065E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.6331455732024992E+002  4.1924519794010440E-001
