# rho_B  Z   N                   tau_n                    tau_p                    tau_t                    field                     spin-orbit                coul_dir                 coul_exc                  coul_tot                 skyrme                   strut_p                   pair_n                   e_pair_bcs_p             k_e                      coul_ee                  coul_pe                   mu_n                     mu_p                     mu_e                     mu_t                     e_t                      e/a_t
  0.005  20  391.16553496208934  2.2018582817350484E+003  2.5239088128481885E+002  2.4542491630198674E+003  -2.1358118145672938E+003  -3.3396920430784114E+001  6.8832520339510737E+001  -6.5726035130269338E+000  6.2259916826483781E+001  3.4730034484827411E+002  -1.8815144113176530E+000  0.0000000000000000E+000  0.0000000000000000E+000  5.6146557809817057E+002  1.3471568458742732E+001  -3.1801410698397000E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  8.7290770629536723E+002  2.1230079665238701E+000
  0.005  22  431.02959561896887  2.4299601363961451E+003  2.7819596358534358E+002  2.7081560999814888E+003  -2.3643902893073496E+003  -3.5690795375275023E+001  8.0802896555633481E+001  -7.2516640035554767E+000  7.3551232552078005E+001  3.8162624785094340E+002  2.8713371831183849E+000   0.0000000000000000E+000  0.0000000000000000E+000  6.1726619626036347E+002  1.5734527578692546E+001  -3.7257337274331157E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  9.6302942559871303E+002  2.1256223467046649E+000
  0.005  24  467.31553439741106  2.6455828087909831E+003  3.0400049276015716E+002  2.9495833015511403E+003  -2.5902953407180330E+003  -3.7893989156100972E+001  9.3524199527663313E+001  -7.9314179953243951E+000  8.5592781532338975E+001  4.0698675320934569E+002  5.0170783989601659E+000   0.0000000000000000E+000  0.0000000000000000E+000  6.7472652504071834E+002  1.8178384390705496E+001  -4.3156191169769023E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.0429763178699075E+003  2.1228238165566120E+000
  0.005  26  498.09181352399958  2.8422039495321437E+003  3.2982399000935436E+002  3.1720279395414982E+003  -2.8117399027272122E+003  -4.0018612766163997E+001  1.0697710830052856E+002  -8.6120347813769804E+000  9.8365073519151537E+001  4.1863449756727277E+002  4.8623004097830744E+000   0.0000000000000000E+000  0.0000000000000000E+000  7.3479816909107569E+002  2.0832657363529389E+001  -4.9567361741562635E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.1092193446900596E+003  2.1164599714430277E+000
  0.005  28  530.57894979502134  3.0452417717383505E+003  3.5557250142780060E+002  3.4008142731661510E+003  -3.0354175615206086E+003  -4.2068874023647247E+001  1.2112604543507844E+002  -9.2922380055355891E+000  1.1183380742954280E+002  4.3516164505143712E+002  2.6618505054370871E+000   0.0000000000000000E+000  0.0000000000000000E+000  7.9411212184469730E+002  2.3605824986459631E+001  -5.6276244046850223E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.1773595943411526E+003  2.1076634742732345E+000
  0.005  30  569.83114732313436  3.2721654867402713E+003  3.8117863158905584E+002  3.6533441183293271E+003  -3.2659034821098326E+003  -4.4048687990390491E+001  1.3593938548655754E+002  -9.9710974326401214E+000  1.2596828805391738E+002  4.6936023628302308E+002  6.1870289815342403E+000   0.0000000000000000E+000  0.0000000000000000E+000  8.5018256756914036E+002  2.6415408873387928E+001  -6.3087928063544780E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.2655870236435196E+003  2.1099054780462332E+000
  0.005  32  605.57868231249574  3.4871081649906669E+003  4.0677316399509550E+002  3.8938813289857626E+003  -3.4936353510606705E+003  -4.5970673021447169E+001  1.5142154599268514E+002  -1.0650247721529528E+001  1.4077129827115562E+002  4.9504660317480210E+002  7.2791051094332033E+000   0.0000000000000000E+000  0.0000000000000000E+000  9.0794151529159149E+002  2.9402679808983265E+001  -7.0334035887970515E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.3443008914968239E+003  2.1084470494182512E+000
  0.005  34  638.51879968392188  3.6924086978287892E+003  4.3234836616194974E+002  4.1247570639907390E+003  -3.7191930498301367E+003  -4.7839600498587465E+001  1.6755586941932944E+002  -1.1329550330719874E+001  1.5622631908860959E+002  5.1395073275062236E+002  6.1782195768309975E+000   0.0000000000000000E+000  0.0000000000000000E+000  9.6707050920710287E+002  3.2560880710090679E+001  -7.7998825575663588E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.4151618546689710E+003  2.1042710706846246E+000
  0.005  36  671.49636972429539  3.8981924155499933E+003  4.5786342598527051E+002  4.3560558415352634E+003  -3.9452429974188012E+003  -4.9657935513697566E+001  1.8432018731655677E+002  -1.2008440496632407E+001  1.7231174681992428E+002  5.3346665542268704E+002  5.1136892629754129E+000   0.0000000000000000E+000  0.0000000000000000E+000  1.0262017767286950E+003  3.5845604403864428E+001  -8.5977387553433857E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.4864859902647788E+003  2.1009545868119748E+000
  0.005  38  703.41897174639769  4.1002602090595474E+003  4.8333820734843971E+002  4.5835984164079873E+003  -4.1706207301574477E+003  -5.1430554815754228E+001  2.0170462737628014E+002  -1.2687145692213702E+001  1.8901748168406652E+002  5.5056461311885187E+002  2.8701522895032667E+000   0.0000000000000000E+000  0.0000000000000000E+000  1.0858740195666378E+003  3.9273573227027001E+001  -9.4309024012433710E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.5545443001895792E+003  2.0967150281116513E+000
