# rho_B   Z   N                   tau_n                    tau_p                    tau_t                    field                     spin-orbit                coul_dir                 coul_exc                  coul_tot                 skyrme                    strut_p                   pair_n                    e_pair_bcs_p              k_e                      coul_ee                  coul_pe                   mu_n                     mu_p                      mu_e                     mu_t                     e_t                      e/a_t                    p_nucl                   p_e                      p_ex                     p_t
  0.0013  20  204.77601275676324  1.1395955688247852E+003  2.7368146165065355E+002  1.4132770304754388E+003  -1.7416635483781592E+003  -3.4010716088232464E+001  7.1675164057100872E+001  -6.8393477647985010E+000  6.4835816292302368E+001  -2.9756141769865195E+002  -2.0105369916981317E+000  -1.3054189273104306E+001  -2.6999779788884986E-007  4.3607356092056762E+002  1.0514152251798304E+001  -2.4900514805980716E+001  0.0000000000000000E+000  -2.9372259196931296E+001  0.0000000000000000E+000  0.0000000000000000E+000  9.3414194132790016E+001  4.1558791343002799E-001  5.1748143231711459E-004  8.5987771997756335E-004  9.9897426514995301E-007  1.3783581265598280E-003
  0.0013  22  224.15949562994908  1.2578227320062008E+003  3.0179897250187003E+002  1.5596217045080707E+003  -1.9314469312828744E+003  -3.6417398938587894E+001  8.4160546320775680E+001  -7.5477959653771967E+000  7.6612750355398546E+001  -3.3162987535799192E+002  3.2593516935254456E+000   -1.4187459302663150E+001  -1.5362866627598968E+000  4.8040675814320815E+002  1.2305371832130586E+001  -2.9230848700703696E+001  0.0000000000000000E+000  -2.7557330917591415E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.0217546564464408E+002  4.1507830271394058E-001  5.1707617860552750E-004  8.6497816915154355E-004  1.0048989063175259E-006  1.3830592466633888E-003
  0.0013  24  242.07244519460625  1.3742065575887434E+003  3.2989982280899704E+002  1.7041063803977404E+003  -2.1215744188439048E+003  -3.8727277522867276E+001  9.7428140699265299E+001  -8.2567935735998148E+000  8.9171347125665577E+001  -3.6702396884336713E+002  5.4252322361157894E+000   -1.5196937597081442E+001  -1.9757995737578047E+000  5.2573046762187778E+002  1.4232565293959594E+001  -3.3896403232478804E+001  0.0000000000000000E+000  -2.8428940452253066E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.0851892390519548E+002  4.0785479993821966E-001  5.1472853508924504E-004  8.7568168299472838E-004  1.0173320144860837E-006  1.3914275500984596E-003
  0.0013  26  258.10282139009632  1.4881025080627728E+003  3.5798828300722198E+002  1.8460907910699948E+003  -2.3118098627325121E+003  -4.0951490316341832E+001  1.1145494423276405E+002  -8.9663009809001935E+000  1.0248864325186385E+002  -4.0418191872699583E+002  4.7796124673870963E+000   -1.6044201854187932E+001  -1.3986719890847019E+000  5.7235865594679285E+002  1.6305438883358018E+001  -3.8920178250298001E+001  0.0000000000000000E+000  -2.9198436665062804E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.1255781847691873E+002  3.9618690840584397E-001  5.1026809936529586E-004  8.9274911564772986E-004  1.0371573722511918E-006  1.4040543723852770E-003
  0.0013  28  272.89047440403255  1.6004585665029877E+003  3.8605203769331479E+002  1.9865106041963024E+003  -2.5022935835965604E+003  -4.3099195139120809E+001  1.2621759811584315E+002  -9.6760930918148702E+000  1.1654150502402824E+002  -4.4234066951534993E+002  1.6493721539352464E+000   -1.6789926293520232E+001  -4.8606789967850316E-007  6.1990441762555270E+002  1.8515041937936765E+001  -4.4281100645842415E+001  0.0000000000000000E+000  -2.8278583605655690E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.1475153077660508E+002  3.8136253652671687E-001  5.0480873246606462E-004  9.1285094940287553E-004  1.0605074246260555E-006  1.4187201892935661E-003
  0.0013  30  293.79377221599844  1.7222448378643878E+003  4.1395020043085202E+002  2.1361950382952400E+003  -2.6954534783895824E+003  -4.5177023453350031E+001  1.4167237294664346E+002  -1.0384368233709772E+001  1.3128800471293366E+002  -4.7314745883476036E+002  6.7816485500277395E+000   -1.8032437882763855E+001  -1.6902919529007114E+000  6.6319530730391887E+002  2.0704243338528567E+001  -4.9605883446889841E+001  0.0000000000000000E+000  -2.7176575782667669E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.2473483707513103E+002  3.8522926559337611E-001  5.0716627813031281E-004  9.0754967311929891E-004  1.0543495284094599E-006  1.4157703007780210E-003
  0.0013  32  312.17762621483524  1.8405434750325676E+003  4.4184167640239866E+002  2.2823851514349662E+003  -2.8883121016882756E+003  -4.7191948345986646E+001  1.5782710239580607E+002  -1.1093035814077561E+001  1.4673406658172857E+002  -5.0638483201756821E+002  8.9098940871542709E+000   -1.9061898190459107E+001  -2.1975811466871393E+000  7.0824969344464785E+002  2.3045579214328825E+001  -5.5303326401937433E+001  0.0000000000000000E+000  -2.7840466096411745E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.3222255298945680E+002  3.8416951863798471E-001  5.0648012193501961E-004  9.1178015095800700E-004  1.0592635987543011E-006  1.4193195364917807E-003
  0.0013  34  329.83439897300440  1.9580199294185356E+003  4.6969119534036344E+002  2.4277111247588991E+003  -3.0814338759816028E+003  -4.9149431867991062E+001  1.7465942601119789E+002  -1.1801615923161449E+001  1.6285781008803633E+002  -5.4001437300266150E+002  8.3083123332758078E+000   -2.0031696273209089E+001  -1.6894269635214498E+000  7.5382028337048405E+002  2.5502432713546433E+001  -6.1286525929590020E+001  0.0000000000000000E+000  -2.8410450745877966E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.3800934424830729E+002  3.7931912055986111E-001  5.0511689901466643E-004  9.1798230224771592E-004  1.0664679374634174E-006  1.4241656691998457E-003
  0.0013  36  345.37247267155914  2.0725710771603181E+003  4.9752676182443241E+002  2.5700978389847505E+003  -3.2743013734876727E+003  -5.1054355606456639E+001  1.9215987878756599E+002  -1.2510417277576654E+001  1.7964946150998938E+002  -5.7560842859938725E+002  6.1017976501002522E+000   -2.0824854475180910E+001  -9.1620869593264009E-001  8.0090953416336129E+002  2.8109161759413720E+001  -6.7637413149109094E+001  0.0000000000000000E+000  -2.8771556124517758E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.4196924065325226E+002  3.7225875181387796E-001  5.0179165913418714E-004  9.3040592663305775E-004  1.0808990484257455E-006  1.4332784848156705E-003
  0.0013  38  360.67866693374077  2.1870109670549891E+003  5.2531255062703553E+002  2.7123235176820244E+003  -3.4675181683740157E+003  -5.2910270846642035E+001  2.1030740362307367E+002  -1.3218962939931005E+001  1.9708844068314264E+002  -6.1101648085548936E+002  3.0137705789793472E+000   -2.1597095305433946E+001  -1.4848325030849644E-006  8.4820023750766245E+002  3.0822599270478626E+001  -7.4253104880720826E+001  0.0000000000000000E+000  -2.8613963636936663E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.4544089083063355E+002  3.6480730696960650E-001  4.9853867304322454E-004  9.4250395310552368E-004  1.0949519362034916E-006  1.4421375780849519E-003
