# rho_B       Z   N                   tau_n                    tau_p                    tau_t                    field                     spin-orbit                coul_dir                 coul_exc                  coul_tot                 skyrme                   strut_p                   pair_n                    e_pair_bcs_p              k_e                      coul_ee                  coul_pe                   mu_n                     mu_p                      mu_e                     mu_t                     e_t                      e/a_t                    p_nucl                   p_e                      p_ex                     p_t
  0.00500000  20  416.20445804439032  2.2906048824770874E+003  2.5212546708887456E+002  2.5427303495659621E+003  -2.1597478947171585E+003  -3.3576910809801028E+001  6.8794980222927691E+001  -6.5690626500045530E+000  6.2225917572923152E+001  4.1163146161192702E+002  -1.8677445981148821E+000  -7.1425053374958111E+001  -2.9746331074678793E-007  5.5031479217005779E+002  1.3208596045532241E+001  -3.1189225782976322E+001  0.0000000000000000E+000  -3.5141789795556576E+001  0.0000000000000000E+000  0.0000000000000000E+000  8.5502596577389863E+002  1.9600232009669878E+000  5.3136379987006538E-003  2.1409122458743322E-003  2.4869648904369593E-006  7.4570372094654230E-003
  0.00500000  22  456.32810306053545  2.5194476125466749E+003  2.7793003488434334E+002  2.7973776474310184E+003  -2.3885240904306202E+003  -3.5882876351888186E+001  8.0762657697568429E+001  -7.2481019635661097E+000  7.3514555734002300E+001  4.4648523638251254E+002  3.3473637328715995E+000   -7.8205514379290065E+001  -1.4460646000926611E+000  6.0598851143432057E+002  1.5451977335963990E+001  -3.6597516279980276E+001  0.0000000000000000E+000  -3.3328784297831767E+001  0.0000000000000000E+000  0.0000000000000000E+000  9.3781244762623237E+002  1.9606049521612521E+000  5.3163910647903408E-003  2.1498502914796833E-003  2.4973466933818997E-006  7.4687387029634062E-003
  0.00500000  24  496.28983448598109  2.7481400512875989E+003  3.0368727573238186E+002  3.0518273270199807E+003  -2.6179223816461963E+003  -3.8095694685546960E+001  9.3474144436163314E+001  -7.9272350053103544E+000  8.5546909430852949E+001  4.8135616011908854E+002  5.6122785335473964E+000   -8.4951776651911757E+001  -1.8117030261972249E+000  6.6173434299906819E+002  1.7834344254009032E+001  -4.2350648521116184E+001  0.0000000000000000E+000  -3.4145655378807731E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.0186467657064354E+003  1.9578448360547720E+000  5.3183547056777428E-003  2.1582439524727294E-003  2.5070961757490849E-006  7.4791057543262219E-003
  0.00500000  26  530.93271405139319  2.9584260294118149E+003  3.2945428904599584E+002  3.2878803184578105E+003  -2.8430442951206837E+003  -4.0229082899673244E+001  1.0691503472870177E+002  -8.6071101145244295E+000  9.8307924614177310E+001  5.0291486505163260E+002  5.3058589066802142E+000   -9.0621964323878430E+001  -1.3137421157143441E+000  7.1980045928319726E+002  2.0414701388531178E+001  -4.8586623352971529E+001  0.0000000000000000E+000  -3.4864099775657216E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.0875726368374383E+003  1.9527900038782460E+000  5.3038432659970576E-003  2.1930109446383376E-003  2.5474790337768519E-006  7.4994016896691718E-003
  0.00500000  28  561.04286744358660  3.1530491426431295E+003  3.5522286800082054E+002  3.5082720106439501E+003  -3.0645460717910319E+003  -4.2291333501588795E+001  1.2106410763149367E+002  -9.2875567665349923E+000  1.1177655086495871E+002  5.1321115621628712E+002  2.6494676875845471E+000   -9.5379278132719179E+001  -3.9971237373909173E-007  7.7993322502044077E+002  2.3191514070465093E+001  -5.5302233532170838E+001  0.0000000000000000E+000  -3.4139755872181453E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.1463982469301466E+003  1.9462051240877016E+000  5.2778795204027331E-003  2.2464449043084183E-003  2.6095440522499301E-006  7.5269339687634015E-003
  0.00500000  30  605.81412161710125  3.3995195991223441E+003  3.8076217842318749E+002  3.7802817775455314E+003  -3.3002165613312991E+003  -4.4278813498106025E+001  1.3586242860871539E+002  -9.9655398120604275E+000  1.2589688879665498E+002  5.6168329151278169E+002  6.8727976149098140E+000   -1.0307965331088096E+002  -1.4184608060907076E+000  8.3354294706414146E+002  2.5907221925133992E+001  -6.1890953791139111E+001  0.0000000000000000E+000  -3.3307824542450078E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.2381469002088354E+003  1.9473409886782553E+000  5.2955263217729902E-003  2.2243441745160432E-003  2.5838734531171850E-006  7.5224543697421514E-003
  0.00500000  32  644.25412285690300  3.6239730432417346E+003  4.0631976491784775E+002  4.0302928081595824E+003  -3.5304941369220005E+003  -4.6209439188202118E+001  1.5133417379921841E+002  -1.0644197579496284E+001  1.4068997621972218E+002  5.9427920826910292E+002  8.2221333690893061E+000   -1.0950459724238591E+002  -1.6754670645803438E+000  8.8998056909581692E+002  2.8830943199560092E+001  -6.8985228035061937E+001  0.0000000000000000E+000  -3.3918119773744280E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.3161125855915254E+003  1.9461804979888977E+000  5.2947269593631449E-003  2.2328905146919800E-003  2.5938002612008667E-006  7.5302112743163259E-003
  0.00500000  34  677.93058751744070  3.8319172311670523E+003  4.3187700401718274E+002  4.2637942351842348E+003  -3.7568021509925698E+003  -4.8087882902503225E+001  1.6746120778766507E+002  -1.1323252705739220E+001  1.5613795508192584E+002  6.1504215637108814E+002  7.0067695969971737E+000   -1.1496918777477362E+002  -9.0354002056149141E-001  9.4856516669250902E+002  3.1948410094426876E+001  -7.6551946591885923E+001  0.0000000000000000E+000  -3.4388882981669283E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.3835381663677881E+003  1.9433610391568445E+000  5.2824429881340651E-003  2.2604914275643202E-003  2.6258594652906788E-006  7.5455602751636755E-003
  0.00500000  36  714.61638088758878  4.0506822522149400E+003  4.5733960870537084E+002  4.5080218609203112E+003  -3.9863234272045192E+003  -4.9913630354636510E+001  1.8421104961209898E+002  -1.2001449630431134E+001  1.7220959998166785E+002  6.4399440334282383E+002  5.4765127609100546E+000   -1.2103109618639449E+002  -7.3193048698208540E-001  1.0058105197382711E+003  3.5145426638194536E+001  -8.4321222952451279E+001  0.0000000000000000E+000  -3.4598139511586126E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.4561782648543624E+003  1.9399766670832459E+000  5.2783730463927094E-003  2.2733205876720231E-003  2.6407608743924159E-006  7.5543343949391250E-003
  0.00500000  38  753.02346212520956  4.2757269652666064E+003  4.8272276967810814E+002  4.7584497349447147E+003  -4.2178306269898449E+003  -5.1691707104719214E+001  2.0157215287114502E+002  -1.2678952053758852E+001  1.8889320081738629E+002  6.7782060166753331E+002  2.8820590662371615E+000   -1.2743630355868423E+002  -1.9870200915526881E-006  1.0622777807571470E+003  3.8434618754325783E+001  -9.2322307694650249E+001  0.0000000000000000E+000  -3.4511451009112193E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.5319274130048818E+003  1.9366396653867313E+000  5.2785087956429121E-003  2.2782801638257032E-003  2.6465215523693875E-006  7.5594354810209850E-003
