# rho_B       Z   N                   tau_n                    tau_p                    tau_t                    field                     spin-orbit                coul_dir                 coul_exc                  coul_tot                 skyrme                    strut_p                   pair_n                   e_pair_bcs_p             k_e                      coul_ee                  coul_pe                   mu_n                     mu_p                     mu_e                     mu_t                     e_t                       e/a_t
  0.00025000  40  95.267466580731281  1.7668856267707822E+003  5.7845891683799005E+002  2.3453445436087723E+003  -3.4235942444172647E+003  -5.4362677526120251E+001  2.3441884889617472E+002  -1.4239684349745721E+001  2.2017916454642892E+002  -9.1243321378818223E+002  1.7055987432961501E+000   0.0000000000000000E+000  0.0000000000000000E+000  7.4849483312527195E+002  2.8230701052654350E+001  -6.8178731413331803E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  -2.3347453228030241E+002  -1.7260213278250218E+000
  0.00050000  40  179.01790989514927  1.8828697100022985E+003  5.6948623662939326E+002  2.4523559466316919E+003  -3.4964578696420763E+003  -5.4458361063540188E+001  2.3253738883575176E+002  -1.4130246639944835E+001  2.1840714219580684E+002  -8.8015314187811884E+002  1.7214505729177745E+000   0.0000000000000000E+000  0.0000000000000000E+000  8.0454893442882258E+002  3.0291345419969989E+001  -7.3118410587468546E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  -1.4800354204388668E+002  -6.7575285739943913E-001
  0.00075000  40  248.95242906486507  2.0025004331922798E+003  5.6350339474610325E+002  2.5660038279383830E+003  -3.5498671371879800E+003  -5.4471856113546814E+001  2.3128537149232736E+002  -1.4056798181379959E+001  2.1722857331094730E+002  -8.2110659205220009E+002  1.7260233122353839E+000   0.0000000000000000E+000  0.0000000000000000E+000  8.4058814933957331E+002  3.1616129579333673E+001  -7.6289808620741823E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  -5.4759818441808534E+001  -1.8950857749952785E-001
  0.00100000  40  307.61418391101262  2.1293883805242799E+003  5.5848222864191405E+002  2.6878706091661938E+003  -3.5994164110215438E+003  -5.4456683000252902E+001  2.3023383244828199E+002  -1.3994852667444373E+001  2.1623897978083761E+002  -7.4976350507476593E+002  1.7276500625705467E+000   0.0000000000000000E+000  0.0000000000000000E+000  8.7060047914216000E+002  3.2719327447908448E+001  -7.8927994980437546E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  4.5062236597427045E+001   1.2963290533873145E-001
  0.00125000  40  358.64530642035726  2.2619983087698388E+003  5.5400039803849450E+002  2.8159987068083333E+003  -3.6479364249594205E+003  -5.4424075840697739E+001  2.2929408786215598E+002  -1.3939322312348045E+001  2.1535476554980787E+002  -6.7100702844197633E+002  1.7274468916152728E+000   0.0000000000000000E+000  0.0000000000000000E+000  8.9654847954350407E+002  3.3673100990830896E+001  -8.1206639630190892E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  1.4844163935377495E+002   3.7236520024893399E-001
  0.00150000  40  404.24171775879574  2.3992707098754013E+003  5.4988493378198939E+002  2.9491556436573906E+003  -3.6964710626517340E+003  -5.4378734032870078E+001  2.2842990088210146E+002  -1.3888130554086876E+001  2.1454177032801462E+002  -5.8715238269920144E+002  1.7260841164338672E+000   0.0000000000000000E+000  0.0000000000000000E+000  9.1944393565646715E+002  3.4514652649005399E+001  -8.3215341728299464E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  2.5402322799439790E+002   5.7181308697333744E-001
  0.00175000  40  442.26507422310493  2.5342167550991931E+003  5.4610271799741258E+002  3.0803194730966056E+003  -3.7441133180953580E+003  -5.4324122448176958E+001  2.2763446846298842E+002  -1.3840911556156327E+001  2.1379355690683224E+002  -5.0432441054010030E+002  1.7236012040048081E+000   0.0000000000000000E+000  0.0000000000000000E+000  9.4227023049664479E+002  3.5353645579954247E+001  -8.5216464613319346E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  3.5851288212717674E+002   7.4339383316153984E-001
  0.00200000  40  478.41508127663127  2.6740853880637974E+003  5.4250456837668105E+002  3.2165899564404785E+003  -3.7928580862550234E+003  -5.4261117911122298E+001  2.2687652239273612E+002  -1.3795836696983718E+001  2.1308068569575246E+002  -4.1744856202991377E+002  1.7204289120459180E+000   0.0000000000000000E+000  0.0000000000000000E+000  9.6211731797824450E+002  3.6083123496322415E+001  -8.6954734201951311E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  4.6422385415474059E+002   8.9546749490952271E-001
  0.00225000  40  510.32689080536153  2.8128689045978031E+003  5.3910545478912377E+002  3.3519743593869271E+003  -3.8415625762945660E+003  -5.4191733266044501E+001  2.2615928689647720E+002  -1.3753114246713864E+001  2.1240617264976333E+002  -3.3137377752391779E+002  1.7164669773339938E+000   0.0000000000000000E+000  0.0000000000000000E+000  9.8130462968052518E+002  3.6788340913133190E+001  -8.8633939093092692E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  5.6850800095397483E+002   1.0330369285085499E+000
  0.00250000  40  539.31805600225130  2.9515753618061999E+003  5.3586189363741960E+002  3.4874372554436195E+003  -3.8905779616379423E+003  -5.4116671542167616E+001  2.2547366329531974E+002  -1.3712219268767731E+001  2.1176144402655200E+002  -2.4549593370994305E+002  1.7119296767070864E+000   0.0000000000000000E+000  0.0000000000000000E+000  9.9949809788297955E+002  3.7457021224067439E+001  -9.0224895569650343E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  6.7165249950415387E+002   1.1593489961295995E+000
  0.00275000  40  565.01852254903622  3.0878766542528238E+003  5.3276498857592344E+002  3.6206416428287471E+003  -3.9394234691273186E+003  -5.4037113862145389E+001  2.2481804015050221E+002  -1.3673055454965663E+001  2.1114498469553644E+002  -1.6167395546517676E+002  1.7068876364726293E+000   0.0000000000000000E+000  0.0000000000000000E+000  1.0172895239129890E+003  3.8110916871157471E+001  -9.1779548116066096E+001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  7.7236010483936957E+002   1.2765891886819705E+000
