# rho_B       Z   N                   tau_n                    tau_p                    tau_t                    field                     spin-orbit                coul_dir                 coul_exc                  coul_tot                 skyrme                    strut_p                   pair_n                    e_pair_bcs_p              k_e                      coul_ee                  coul_pe                   mu_n                     mu_p                      mu_e                     mu_t                     e_t                       e/a_t                     p_nucl                   p_e                      p_ex                     p_t
  0.00025000  40  94.565284650060534  1.7662424881731545E+003  5.7866688403825231E+002  2.3449093722114067E+003  -3.4231571132893387E+003  -5.4665556151948877E+001  2.3445677374841003E+002  -1.4241907827497947E+001  2.2021486592091216E+002  -9.1269843130897027E+002  1.7331556908898165E+000   -3.5551518688890766E+000  -4.1660001553155681E-007  7.4982892686591867E+002  2.8279746543350349E+001  -6.8296520216001909E+001  0.0000000000000000E+000  -2.4119956114811888E+001  0.0000000000000000E+000  0.0000000000000000E+000  -2.3600199471031334E+002  -1.7538088132302907E+000  3.3143548735704090E-007  4.7663323330342629E-004  5.5379080602608173E-007  4.7751845959680941E-004
  0.00050000  40  178.82921355419472  1.8834147299497799E+003  5.6955656979910577E+002  2.4529712997488859E+003  -3.4971003868245143E+003  -5.4764494543408375E+001  2.3254656099567890E+002  -1.4130815809270299E+001  2.1841574518640860E+002  -8.8047783643263028E+002  1.7484276703248725E+000   -5.0315727463088225E+000  -6.5817077628815318E-007  8.0478583198984416E+002  3.0300053848398637E+001  -7.3139304220012775E+001  0.0000000000000000E+000  -2.5451105918026371E+001  0.0000000000000000E+000  0.0000000000000000E+000  -1.5310812054856461E+002  -6.9966209218223530E-001  4.6301206188518973E-005  6.2808254432096468E-004  7.2971966270152099E-007  6.7511347017218512E-004
  0.00075000  40  253.74726333848344  2.0086210439634654E+003  5.6341383494069805E+002  2.5720348789041636E+003  -3.5521876702504801E+003  -5.4778020556631773E+001  2.3126117392699868E+002  -1.4055411390511312E+001  2.1720576253648753E+002  -8.1772504936646123E+002  1.7526474838255126E+000   -9.0150018069389706E+000  -4.9736393970029830E-007  8.3588056525421348E+002  3.1443084220001811E+001  -7.5875326375720675E+001  0.0000000000000000E+000  -2.6316466102269928E+001  0.0000000000000000E+000  0.0000000000000000E+000  -6.4832801088452953E+001  -2.2070946415455020E-001  1.4840653673696492E-004  7.2832356079023327E-004  8.4616103235372894E-007  8.7757625855955194E-004
  0.00100000  40  313.12333294235890  2.1373046842763260E+003  5.5840082436479111E+002  2.6957055086411174E+003  -3.6019805683389186E+003  -5.4762577396182685E+001  2.3021138953621082E+002  -1.3993565891970487E+001  2.1621782364424027E+002  -7.4481981344974201E+002  1.7536425842533845E+000   -1.4442476692610388E+001  -5.1221358469269040E-007  8.6594516497630627E+002  3.2548208962454794E+001  -7.8518475047160649E+001  0.0000000000000000E+000  -2.7025508071851075E+001  0.0000000000000000E+000  0.0000000000000000E+000  3.1172530821279334E+001   8.8276610218521540E-002   2.8658540443173090E-004  8.3620961386703357E-004  9.7148154716638481E-007  1.1237664998459307E-003
  0.00125000  40  369.29525784685353  2.2784287290876796E+003  5.5382688455843027E+002  2.8322556136461099E+003  -3.6523593985522743E+003  -5.4728312361935380E+001  2.2925232843398874E+002  -1.3936893486426007E+001  2.1531543494756275E+002  -6.5951666232053412E+002  1.7530847939372052E+000   -2.1176204543914601E+001  -3.0711805514077428E-007  8.8852956924417060E+002  3.3378351556530070E+001  -8.0501744693380630E+001  0.0000000000000000E+000  -2.7658472210505600E+001  0.0000000000000000E+000  0.0000000000000000E+000  1.3117267372968243E+002   3.2048422554296846E-001   4.6069569780933062E-004  9.2481416290955470E-004  1.0744037344131950E-006  1.3865842644532986E-003
  0.00150000  40  417.41529858020505  2.4216215647843687E+003  5.4968449328568317E+002  2.9713060580700521E+003  -3.7021176502410135E+003  -5.4681704352701750E+001  2.2838254828164119E+002  -1.3885362172162093E+001  2.1449718610947926E+002  -5.7099611041418120E+002  1.7512829422255436E+000   -2.8644963892432667E+001  -3.2104769096171117E-007  9.1033787034080285E+002  3.4179949682111022E+001  -8.2415447070665124E+001  0.0000000000000000E+000  -2.8225803166207058E+001  0.0000000000000000E+000  0.0000000000000000E+000  2.3291886126680521E+002   5.0920653941705785E-001   6.6098403568329636E-004  1.0168804066880345E-003  1.1813462490416666E-006  1.6790457886203725E-003
  0.00175000  40  459.42593641646312  2.5658791009910992E+003  5.4584825207908113E+002  3.1117273530701805E+003  -3.7518070614941266E+003  -5.4625433813723220E+001  2.2757571376654764E+002  -1.3837461415072047E+001  2.1373825235147555E+002  -4.8096688988619798E+002  1.7483236631460386E+000   -3.6327833743385568E+001  -5.8965456727218217E-007  9.3112053471819797E+002  3.4943834424078581E+001  -8.4237743317307235E+001  0.0000000000000000E+000  -2.8754075787927363E+001  0.0000000000000000E+000  0.0000000000000000E+000  3.3498650526886979E+002   6.7074310892225819E-001   8.8440699984110587E-004  1.1108535406826503E-003  1.2905030951128276E-006  1.9965510436188694E-003
  0.00200000  40  497.20170184582520  2.7115875655365007E+003  5.4223958502515438E+002  3.2538271505616549E+003  -3.8018700433944141E+003  -5.4561102202901459E+001  2.2681550406616594E+002  -1.3792247391817630E+001  2.1302325667434826E+002  -3.8958073836131257E+002  1.7446826308412255E+000   -4.4243173248621936E+001  -5.1810875719942445E-007  9.5053306056493739E+002  3.5657346539040986E+001  -8.5938538979720121E+001  0.0000000000000000E+000  -2.9242157644218743E+001  0.0000000000000000E+000  0.0000000000000000E+000  4.3687891862704896E+002   8.1324931980920534E-001   1.1292932447292045E-003  1.2043761240954527E-003  1.3991359964875073E-006  2.3350685048211450E-003
  0.00225000  40  534.25678708159478  2.8640122451522880E+003  5.3877286973026128E+002  3.4027851148825494E+003  -3.8537195367634968E+003  -5.4489231031510009E+001  2.2608393610451395E+002  -1.3748668662315945E+001  2.1233526744219787E+002  -2.9308838547025789E+002  1.7405803081176145E+000   -5.2371598675249928E+001  -4.4367315143244838E-007  9.6719880968855966E+002  3.6269891467155162E+001  -8.7397315831022155E+001  0.0000000000000000E+000  -2.9704389525791260E+001  0.0000000000000000E+000  0.0000000000000000E+000  5.4105826104362234E+002   9.4218870932747012E-001   1.3971106419794752E-003  1.2892706844486164E-003  1.4977463990703359E-006  2.6878790728271621E-003
  0.00250000  40  564.61115305405360  3.0092325845677833E+003  5.3552017619387675E+002  3.5447527607616603E+003  -3.9043708552266867E+003  -5.4412561177814844E+001  2.2539643544603578E+002  -1.3707647997728683E+001  2.1168878744830704E+002  -2.0234186819453654E+002  1.7356298884690204E+000   -6.0322543203849371E+001  -3.8375621977672967E-007  9.8507900742483559E+002  3.6927064596944007E+001  -8.8961615582907271E+001  0.0000000000000000E+000  -3.0140607936700640E+001  0.0000000000000000E+000  0.0000000000000000E+000  6.4082195454519240E+002   1.0598910577607745E+000   1.6782967714643283E-003  1.3852593404175642E-003  1.6092428257081704E-006  3.0651653547076004E-003
