# rho_B       Z   N                   tau_n                    tau_p                    tau_t                    field                     spin-orbit                coul_dir                 coul_exc                  coul_tot                 skyrme                   strut_p                   pair_n                    e_pair_bcs_p              k_e                      coul_ee                  coul_pe                   mu_n                     mu_p                      mu_e                     mu_t                     e_t                      e/a_t
  0.02000000  20  575.08547401279714  5.7004150856801334E+003  2.0309140765090498E+002  5.9035064933310387E+003  -3.8340879948058359E+003  -2.8600903638811211E+001  6.1884951951171722E+001  -5.9062228916389445E+000  5.5978729059532803E+001  2.0967963239459223E+003  -1.6929204484097227E+000  -1.0702587962484779E+002  -2.0321629511154076E-006  7.9198358837254034E+002  1.8907370907372243E+001  -4.4172667967840141E+001  0.0000000000000000E+000  -4.6685022631708776E+001  0.0000000000000000E+000  0.0000000000000000E+000  2.7391489531524967E+003  4.6029504545973126E+000
  0.02000000  22  632.69830424487486  6.2754735222348390E+003  2.2378455995463281E+002  6.4992580821894717E+003  -4.2285080077473085E+003  -3.0459218173859892E+001  7.2630839126822821E+001  -6.5150300741097400E+000  6.6115809052713075E+001  2.3064066653210175E+003  5.5324722989344082E+000   -1.1775129892693107E+002  -4.9382569005430854E+000  8.7113510132844249E+002  2.2094287962868478E+001  -5.1778425156523795E+001  0.0000000000000000E+000  -4.5486886244799280E+001  0.0000000000000000E+000  0.0000000000000000E+000  3.0134889999272095E+003  4.6028666644955791E+000
  0.02000000  24  686.86662148926894  6.8205217394276397E+003  2.4447933407222078E+002  7.0650010734998605E+003  -4.6112923576119538E+003  -3.2248729030129027E+001  8.4049442507573076E+001  -7.1244597455308707E+000  7.6924982762042163E+001  2.4983849696198176E+003  9.2642545851435898E+000   -1.2779370680038809E+002  -7.1167667925163096E+000  9.5183851868919157E+002  2.5515730689991717E+001  -5.9952975030646158E+001  0.0000000000000000E+000  -4.5796009710148290E+001  0.0000000000000000E+000  0.0000000000000000E+000  3.2713637929605552E+003  4.6019375422266995E+000
  0.02000000  26  744.32798460892730  7.3947354401951043E+003  2.6506354144558287E+002  7.6597989816406871E+003  -5.0061660496649602E+003  -3.3962703328991090E+001  9.6100860253812044E+001  -7.7328243098605247E+000  8.8368035943951440E+001  2.7080382645906870E+003  1.0284753084863723E+001   -1.3848976056802584E+002  -7.2355707702345615E+000  1.0310578553993726E+003  2.9088027791719615E+001  -6.8505270159619016E+001  0.0000000000000000E+000  -4.6017053555986365E+001  0.0000000000000000E+000  0.0000000000000000E+000  3.5438973813687358E+003  4.6005045281553079E+000
  0.02000000  28  795.19394107446112  7.9112380424525045E+003  2.8569746932173706E+002  8.1969355117742416E+003  -5.3781881153731483E+003  -3.5630941517703860E+001  1.0879384674213196E+002  -8.3423688331285852E+000  1.0045147790900344E+002  2.8835679327923922E+003  1.0008648866039493E+001   -1.4787286204828726E+002  -6.4937089266306804E+000  1.1132720768672584E+003  3.2930898695231811E+001  -7.7707097009280020E+001  0.0000000000000000E+000  -4.6016656630263832E+001  0.0000000000000000E+000  0.0000000000000000E+000  3.7858002852367040E+003  4.5989166055893929E+000
  0.02000000  30  848.46894569125595  8.4498938782290861E+003  3.0622356122525110E+002  8.7561174394543377E+003  -5.7594117613365725E+003  -3.7237683716425103E+001  1.2208295891498729E+002  -8.9507806620645241E+000  1.1313217825292283E+002  3.0726001726542595E+003  1.1698416370596306E+001   -1.5774705570226439E+002  -7.8066599718171261E+000  1.1944047905757741E+003  3.6927259888517661E+001  -8.7290883034995986E+001  0.0000000000000000E+000  -4.6008344455057234E+001  0.0000000000000000E+000  0.0000000000000000E+000  4.0393157507800538E+003  4.5976503311381771E+000
  0.02000000  32  903.42755692198932  9.0019805894252659E+003  3.2667714496799329E+002  9.3286577343932586E+003  -6.1462697696424621E+003  -3.8793404208846212E+001  1.3595752887692990E+002  -9.5585092124963875E+000  1.2639901966443351E+002  3.2699935802063833E+003  1.2622271052720407E+001   -1.6791879762847762E+002  -8.8174243390626152E+000  1.2747696845895241E+003  4.1078582172661669E+001  -9.7258992971178145E+001  0.0000000000000000E+000  -4.6147292872471866E+001  0.0000000000000000E+000  0.0000000000000000E+000  4.2994339270825585E+003  4.5962232941093104E+000
  0.02000000  34  956.26010199930590  9.5363666878119147E+003  3.4709689713761219E+002  9.8834635849495262E+003  -6.5262672528506837E+003  -4.0307308914031971E+001  1.5041095985615496E+002  -1.0166090677397767E+001  1.4024486917875720E+002  3.4571338923635672E+003  1.1536784500050089E+001   -1.7768145788456204E+002  -8.2587089050127975E+000  1.3561174410347423E+003  4.5436024266480267E+001  -1.0772773199783113E+002  0.0000000000000000E+000  -4.6256874787598719E+001  0.0000000000000000E+000  0.0000000000000000E+000  4.5499565813774252E+003  4.5947085742283225E+000
  0.02000000  36  1006.5117665978287  1.0048271861708854E+004  3.6749886538358481E+002  1.0415770727092438E+004  -6.8974539351589001E+003  -4.1785097806372498E+001  1.6543343193025433E+002  -1.0773722741855604E+001  1.5465970918839861E+002  3.6311914033155667E+003  9.0869816003871620E+000   -1.8693480901972069E+002  -6.6364738938067056E+000  1.4386726872867525E+003  5.0007462009905240E+001  -1.1871488191124116E+002  0.0000000000000000E+000  -4.6272013497654569E+001  0.0000000000000000E+000  0.0000000000000000E+000  4.7885080213878364E+003  4.5932412226008950E+000
  0.02000000  38  1059.8832909655164  1.0587755707585557E+004  3.8778593773087795E+002  1.0975541645316434E+004  -7.2799060215814416E+003  -4.3217604726186842E+001  1.8099114279513296E+002  -1.1379971136728313E+001  1.6961117165840460E+002  3.8220291906672096E+003  6.1420564785883016E+000   -1.9679746181962801E+002  -4.5707717036558524E+000  1.5197866129926495E+003  5.4699846683532883E+001  -1.3000629640218156E+002  0.0000000000000000E+000  -4.6163698121652516E+001  0.0000000000000000E+000  0.0000000000000000E+000  5.0415541428965098E+003  4.5920674668973485E+000
  0.02000000  40  1112.7156452406839  1.1122674220143435E+004  4.0801961943132454E+002  1.1530693839574760E+004  -7.6607003352587244E+003  -4.4615473045002297E+001  1.9708533145712585E+002  -1.1985702164552684E+001  1.8509962929257324E+002  4.0104776605636084E+003  2.3213742177445056E+000   -2.0655689804002856E+002  -1.3174813275074218E+000  1.6011565521651135E+003  5.9567242710176714E+001  -1.4172549324122326E+002  0.0000000000000000E+000  -4.5640438595512762E+001  0.0000000000000000E+000  0.0000000000000000E+000  5.2926292370478795E+003  4.5914439167169947E+000
  0.02000000  42  1167.7234198606798  1.1676862738530697E+004  4.2815409671531359E+002  1.2105016835246011E+004  -8.0493895349697068E+003  -4.5975742840065067E+001  2.1369378646046474E+002  -1.2590227724402943E+001  2.0110355873606179E+002  4.2107551161722959E+003  8.1513353358436689E+000   -2.1674415405708160E+002  -6.5774345592923176E+000  1.6815089147991812E+003  6.4559425123395684E+001  -1.5375637765899415E+002  0.0000000000000000E+000  -4.5292887384634433E+001  0.0000000000000000E+000  0.0000000000000000E+000  5.5550384191553458E+003  4.5919904731550201E+000
  0.02000000  44  1222.7505788720216  1.2232261077446001E+004  4.4821644692612671E+002  1.2680477524372127E+004  -8.4387186154049868E+003  -4.7303690960189705E+001  2.3081213123269933E+002  -1.3193922188942667E+001  2.1761820904375671E+002  4.4120734270507082E+003  1.0995216787712707E+001   -2.2695626133102650E+002  -8.8934996496710816E+000  1.7618523627938798E+003  6.9709616478717848E+001  -1.6617479806323990E+002  0.0000000000000000E+000  -4.5298652102859073E+001  0.0000000000000000E+000  0.0000000000000000E+000  5.8181829720670794E+003  4.5926199368751641E+000
  0.02000000  46  1276.6653547289072  1.2777173275991561E+004  4.6824488878943743E+002  1.3245418164780998E+004  -8.8239638518391821E+003  -4.8606036891890994E+001  2.4843984501057079E+002  -1.3797323061125152E+001  2.3464252194944550E+002  4.6074907979993732E+003  1.1888888837118429E+001   -2.3692890819178828E+002  -9.4757717264654886E+000  1.8427187505916461E+003  7.5036734945839939E+001  -1.7902410752860018E+002  0.0000000000000000E+000  -4.5310097353728082E+001  0.0000000000000000E+000  0.0000000000000000E+000  6.0757186069271220E+003  4.5931755295707770E+000
  0.02000000  48  1332.9553402132583  1.3342189998888280E+004  4.8817932390014062E+002  1.3830369322788420E+004  -9.2173866584285679E+003  -4.9877644433584940E+001  2.6655226327993608E+002  -1.4399536806932181E+001  2.5215272647300401E+002  4.8152577463992693E+003  1.1185080759121320E+001   -2.4734135643873552E+002  -8.6624609225750699E+000  1.9224689979014945E+003  8.0472478989412224E+001  -1.9214632988924026E+002  0.0000000000000000E+000  -4.5273867404300262E+001  0.0000000000000000E+000  0.0000000000000000E+000  6.3436816927987447E+003  4.5936906922836407E+000
