# rho_B       Z   N                   tau_n                    tau_p                    tau_t                    field                     spin-orbit                coul_dir                 coul_exc                  coul_tot                 skyrme                   strut_p                   pair_n                    e_pair_bcs_p              k_e                      coul_ee                  coul_pe                   mu_n                     mu_p                      mu_e                     mu_t                     e_t                      e/a_t
  0.02000000  20  559.14104651495006  5.5603087095655965E+003  2.0335784801676962E+002  5.7636665575823663E+003  -3.7777451987317218E+003  -2.8640423177104225E+001  6.1924429672605740E+001  -5.9100428458782410E+000  5.6014386826727474E+001  2.0132953225002655E+003  -1.6934816016221248E+000  -1.0932785516768305E+001  -6.9277048139627730E-007  7.9927758342403183E+002  1.9079356625316183E+001  -4.4561147114205795E+001  0.0000000000000000E+000  -4.6624012510594291E+001  0.0000000000000000E+000  0.0000000000000000E+000  2.7588179876241679E+003  4.7636374665615051E+000
  0.02000000  22  615.87394908131603  6.1283471972042616E+003  2.2405671659675292E+002  6.3524039138010148E+003  -4.1693750228359440E+003  -3.0498623745149512E+001  7.2673966298065267E+001  -6.5189485659241306E+000  6.6155017732141118E+001  2.2186852849520660E+003  3.8317291268322151E+000   -1.2047553403738679E+001  -2.4171689096237881E+000  8.7882424357687773E+002  2.2286897657268348E+001  -5.2214881522728824E+001  0.0000000000000000E+000  -4.5151230965477097E+001  0.0000000000000000E+000  0.0000000000000000E+000  3.0397370054768994E+003  4.7648069762323750E+000
  0.02000000  24  669.87399575390043  6.6712375465870427E+003  2.4476430643461421E+002  6.9160018530216566E+003  -4.5512984866862789E+003  -3.2289160890967217E+001  8.4097134427084967E+001  -7.1285560435759319E+000  7.6968578383509055E+001  2.4093827838279221E+003  6.5791073156985931E+000   -1.3099520043610044E+001  -3.2853087958474427E+000  9.5964384728150833E+002  2.5722385182298034E+001  -6.0422534674926169E+001  0.0000000000000000E+000  -4.5663175874346642E+001  0.0000000000000000E+000  0.0000000000000000E+000  3.3057445280930046E+003  4.7641856422180453E+000
  0.02000000  26  722.61073536558786  7.2039604866888922E+003  2.6542870653703073E+002  7.4693891932259230E+003  -4.9295177267116269E+003  -3.4013406036901088E+001  9.6165297522230603E+001  -7.7380804782797528E+000  8.8427217043950819E+001  2.5942852775213478E+003  6.8068581671564061E+000   -1.4126722025161634E+001  -2.7096508040840037E+000  1.0410587605012443E+003  2.9366687623125102E+001  -6.9139923648079474E+001  0.0000000000000000E+000  -4.6081949802601514E+001  0.0000000000000000E+000  0.0000000000000000E+000  3.5652003693355209E+003  4.7624221787087198E+000
  0.02000000  28  773.89867542205116  7.7241790840184349E+003  2.8605979848377439E+002  8.0102388825022090E+003  -5.3030414461087148E+003  -3.5680124037411581E+001  1.0886108228041775E+002  -8.3475907381540502E+000  1.0051349154226367E+002  2.7720308038983467E+003  4.0403474777851898E+000   -1.5122042432968335E+001  -7.6495465020400355E-006  1.1231645781544601E+003  3.3219914720883217E+001  -7.8366591476069644E+001  0.0000000000000000E+000  -4.5921303230466776E+001  0.0000000000000000E+000  0.0000000000000000E+000  3.8170613986928697E+003  4.7600295594387454E+000
  0.02000000  30  832.00888258714531  8.3045407469745587E+003  3.0651212046622811E+002  8.6110528674407869E+003  -5.7010243840537660E+003  -3.7276300352666937E+001  1.2213887514805828E+002  -8.9549405093180194E+000  1.1318393463874023E+002  2.9859361176730963E+003  7.7481352373117716E+000   -1.6264832847082122E+001  -2.7624742029094707E+000  1.2020548795924371E+003  3.7160863353280618E+001  -8.7824954384901318E+001  0.0000000000000000E+000  -4.5759180610097701E+001  0.0000000000000000E+000  0.0000000000000000E+000  4.1025774444212175E+003  4.7593215421408974E+000
  0.02000000  32  879.25667653372545  8.7896892009758812E+003  3.2709341494825122E+002  9.1167826159241322E+003  -6.0610181179280298E+003  -3.8847905025525563E+001  1.3604200959054873E+002  -9.5645239367391568E+000  1.2647748565380959E+002  3.1433940786243875E+003  8.3528356164486013E+000   -1.7171824226967662E+001  -3.2737128915388856E+000  1.2860837532748858E+003  4.1438679153758848E+001  -9.8083427237474979E+001  0.0000000000000000E+000  -4.6057339212613059E+001  0.0000000000000000E+000  0.0000000000000000E+000  4.3357054063134874E+003  4.7579408941064187E+000
  0.02000000  34  930.21250157629709  9.3076015619499904E+003  3.4754890650478342E+002  9.6551504684547745E+003  -6.4344109906147924E+003  -4.0365393138595458E+001  1.5050651784950989E+002  -1.0172629976858701E+001  1.4033388787265122E+002  3.3207079725740355E+003  6.8569884794244444E+000   -1.8158756033238070E+001  -2.4641742149539936E+000  1.3683735206146771E+003  4.5841602966735721E+001  -1.0865755756621182E+002  0.0000000000000000E+000  -4.6269897462763467E+001  0.0000000000000000E+000  0.0000000000000000E+000  4.5858999348204597E+003  4.7561091847681265E+000
  0.02000000  36  980.95180624442412  9.8237996319477152E+003  3.6794669217747838E+002  1.0191746324125193E+004  -6.8073307635062192E+003  -4.1841605748158329E+001  1.6553185654789493E+002  -1.0780209348199985E+001  1.5475164719969487E+002  3.4973256020705121E+003  5.1527549210838970E+000   -1.9141737877383552E+001  -1.8629741837001372E+000  1.4507769288353977E+003  5.0423026570196868E+001  -1.1966872981174559E+002  0.0000000000000000E+000  -4.6311265816036943E+001  0.0000000000000000E+000  0.0000000000000000E+000  4.8348405225243541E+003  4.7542474410610707E+000
  0.02000000  38  1031.6135978465941  1.0339495614884943E+004  3.8828420819260651E+002  1.0727779823077550E+004  -7.1802437759893783E+003  -4.3279488437308984E+001  1.8110473389668269E+002  -1.1387197419045547E+001  1.6971753647763714E+002  3.6739740951285034E+003  3.1746294159599984E+000   -2.0122430906016664E+001  -1.0714732610164468E+000  1.5332267748859560E+003  5.5177637502625558E+001  -1.3110419416125416E+002  0.0000000000000000E+000  -4.6277453915175244E+001  0.0000000000000000E+000  0.0000000000000000E+000  5.0835260046047533E+003  4.7526751855394354E+000
  0.02000000  40  1082.3166762484145  1.0855727376882554E+004  4.0855930382815262E+002  1.1264286680710708E+004  -7.5535501916420535E+003  -4.4681533316645144E+001  1.9721269393024528E+002  -1.1993538466521997E+001  1.8521915546372327E+002  3.8512741112157355E+003  1.0230044611262201E+000   -2.1103058030744194E+001  -1.7272302499031769E-006  1.6156645442196432E+003  6.0100348190849381E+001  -1.4295173341416356E+002  0.0000000000000000E+000  -4.5583248222030434E+001  0.0000000000000000E+000  0.0000000000000000E+000  5.3327134949152114E+003  4.7515229950407836E+000
